ABRIL 2022;;;;;;;;
LABORATORIO TITULAR;N¯ CERTIFICADO;NOMBRE COMERCIAL;NOMBRE GENERICO;CONCENTRACION;FORMA FARMACEUTICA;PRESENTACION;ACCION TERAPEUTICA/ INDICACIONES;OBSERVACIONES
TAKEDA ARGENTINA S.A.;58472;MYVITLA;IXAZOMIB;3 MG (4,30 MG);CµPSULA DURA;3 UNIDADES;ANTINEOPLASICO;VER PROSPECTO EN VADEMECUM ANMAT
TAKEDA ARGENTINA S.A.;58472;MYVITLA;IXAZOMIB;4 MG (5,7 MG);CµPSULA DURA;3 UNIDADES;ANTINEOPLASICO;VER PROSPECTO EN VADEMECUM ANMAT
KLONAL SRL;58550;KLOPOXONA;IODOPOVIDONA;10 G / 100 ML;SOLUCI‡N TOPICA;1 FRASCO POR 30 ML;ANTISEPTICO DESINFECTANTE;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIOS SEQIRUS S.A.;59439;FLUCELVAX QUAD;VACUNA ANTI-INFLUENZA TETRAVALENTE INACTIVADA (SUBUNIDADES), DESARROLLADA EN CULTIVO CELULAR;15 MICROGRAMOS HA POR CADA CEPA VIRAL/DOSIS (0,5 ML);SUSPENSI‡N INYECTABLE;1 JERINGA PRELLENADA MONODOSIS CON ˇ0,5 ML ? (EN JERINGA CON AGUJA INCORPORADA);VACUNA ANTI INFLUENZA;VER PROSPECTO EN VADEMECUM ANMAT
BALIARDA SOCIEDAD ANONIMA;59332;REOVEX EZ 10/10;ROSUVASTATINA (COMO R. CµLCICA) ˇEZETIMIBA;10 MG (10,4 MG) - 10 MG;COMPRIMIDO BICAPA RECUBIERTO;X 30 UNIDADES;ADYUVANTE DE LA DIETA PARA EL TRATAMIENTO DE PACIENTES ADULTOS CON HIPERCOLESTEROLEMIA PRIMARIA ADECUADAMENTE TRATADOS CON ROSUVASTATINA Y EZETIMIBA EN MONOTERAPIA, A LAS MISMAS DOSIS QUE EN LA COMBINACI‡N A DOSIS FIJAS.;VER PROSPECTO EN VADEMECUM ANMAT
BALIARDA SOCIEDAD ANONIMA;59332;REOVEX EZ 20/10;ROSUVASTATINA (COMO R. CµLCICA) ˇEZETIMIBA;20 MG (20,8 MG) - 10 MG;COMPRIMIDO BICAPA RECUBIERTO;X 30 UNIDADES;ADYUVANTE DE LA DIETA PARA EL TRATAMIENTO DE PACIENTES ADULTOS CON HIPERCOLESTEROLEMIA PRIMARIA ADECUADAMENTE TRATADOS CON ROSUVASTATINA Y EZETIMIBA EN MONOTERAPIA, A LAS MISMAS DOSIS QUE EN LA COMBINACI‡N A DOSIS FIJAS.;VER PROSPECTO EN VADEMECUM ANMAT
BOEHRINGER INGELHEIM S.A.;56988;TRAYENTA DUO; LINAGLIPTINA-METFORMINA CLORHIDRATO;2,5 MG - 850 MG;COMPRIMIDO RECUBIERTO;X 60 UNIDADES;HIPOGLUCEMIANTE;VER PROSPECTO EN VADEMECUM ANMAT
BOEHRINGER INGELHEIM S.A.;56988;TRAYENTA DUO; LINAGLIPTINA-METFORMINA CLORHIDRATO;2,5 MG- 1000 MG;COMPRIMIDO RECUBIERTO;X 60 UNIDADES;HIPOGLUCEMIANTE;VER PROSPECTO EN VADEMECUM ANMAT
BIOPAS ARGENTINA S.A.;55303;VIMPAT;LACOSAMIDA;10 MG / ML;SOLUCI‡N INYECTABLE;1 VIAL POR 20 ML;ANTIEPILEPTICO;VER PROSPECTO EN VADEMECUM ANMAT
VEINFAR INDUSTRIAL Y COMERCIAL SOCIEDAD ANONIMA;52619;MEROPENEM LARJAN;MEROPENEM;1000 MG;INYECTABLE;1 FRASCO AMPOLLA por 1000 MG;ANTIMICROBIANO;VER PROSPECTO EN VADEMECUM ANMAT
VEINFAR INDUSTRIAL Y COMERCIAL SOCIEDAD ANONIMA;52619;MEROPENEM LARJAN;MEROPENEM;500 MG;INYECTABLE;1 FRASCO AMPOLLA por 500 MG;ANTIMICROBIANO;VER PROSPECTO EN VADEMECUM ANMAT
VEINFAR INDUSTRIAL Y COMERCIAL SOCIEDAD ANONIMA;41242;CAFEINA LARJAN;CAFEINA ANHIDRA + BENZOATO SODICO;25 % + 30 %;SOLUCI‡N INYECTABLE;100 AMPOLLA por 1 ML (UH);ESTIMULANTE DEL SISTEMA NERVIOSO CENTRAL;VER PROSPECTO EN VADEMECUM ANMAT
PFIZER SRL;51889;SOMAVERT;PEGVISOMANT;10 MG;POLVO LIOFILIZADO PARA SOLUCI‡N INYECTABLE;30 FRASCO AMPOLLA por 10 MG + 30 JERINGA PRELLENADA por 1 ML + 30 AGUJAS;INDICADO PARA EL TRATAMIENTO DE LA ACROMEGALIA EN PACIENTES QUE NO HAYAN RESPONDIDO EN FORMA ADECUADA AL TRATAMIENTO CON CIRUG÷A OˇRADIACI‡N OˇPARA QUIENES ESTOS TRATAMIENTOS NO SEAN APROPIADOS. EL OBJETIVO DEL TRATAMIENTO ES NORMALIZAR LOS NIVELES SêRICOS DEL FACTOR DE CRECIMIENTO ANµLOGO DE LA INSULINA (IGF?I).;VER PROSPECTO EN VADEMECUM ANMAT
PFIZER SRL;51889;SOMAVERT;PEGVISOMANT;15 MG;POLVO LIOFILIZADO PARA SOLUCI‡N INYECTABLE;30 FRASCO AMPOLLA por 15 MG + 30 JERINGA PRELLENADA por 1 ML + 30 AGUJAS;IDEM ANTERIOR;VER PROSPECTO EN VADEMECUM ANMAT
LAFEDAR SOCIEDAD ANONIMA;57280;LURSELLE UD;LEVONORGESTREL;1.5 MG;COMPRIMIDO;1 UNIDAD;ANTICONCEPTIVO DE EMERGENCIA;VER PROSPECTO EN VADEMECUM ANMAT
PANALAB S A ARGENTINA;50853;SUPRALER FORTE;LEVOCETIRIZINA DICLORHIDRATO;10 MG;COMPRIMIDO RECUBIERTO;X 10 UNIDADES;ANTIALERGICO ANTIHISTAMINICO H1;VER PROSPECTO EN VADEMECUM ANMAT
PANALAB S A ARGENTINA;50853;SUPRALER FORTE;LEVOCETIRIZINA DICLORHIDRATO;10 MG;COMPRIMIDO RECUBIERTO;X 30 UNIDADES;ANTIALERGICO ANTIHISTAMINICO H2;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIOS BERNABO SOCIEDAD ANONIMA;59316;ROSUBER PLUS;ROSUVASTATINA - EZETIMIBE;5 MG - 10 MG;COMPRIMIDO RECUBIERTO;30 UNIDADES;TRATAMIENTO DE LA HIPERCOLESTEROLEMIA PRIMARIA Y PREVENCION DE EVENTOS CARDIOVASCULARES;VER PROSPECTO EN VADEMECUM ANMAT
MEGALABS ARGENTINA S.A.U.;59298;ROSATINA;IVERMECTINA;0,01;CREMA DERMICA;1 POMO POR 30 GR;CREMA T‡PICA FACIAL PARA TRATAR LAS LESIONES INFLAMATORIAS DEBIDAS A LA ROSµCEA;VER PROSPECTO EN VADEMECUM ANMAT
ASOFARMA S.A.I.y.C.;59546;OFANIR;NINTEDANIB;100 MG;CµPSULA CON CONTENIDO LIQUIDO;60 UNIDADES;TRATAMIENTO DE LA FIBROSIS PULMONAR IDIOPATICA (FPI);VER PROSPECTO EN VADEMECUM ANMAT
ASOFARMA S.A.I.y.C.;59546;OFANIR;NINTEDANIB;150 MG;CµPSULA CON CONTENIDO LIQUIDO;60 UNIDADES;TRATAMIENTO DE LA FIBROSIS PULMONAR IDIOPATICA (FPI);VER PROSPECTO EN VADEMECUM ANMAT
MERCK S.A.;54844;PERGOVERIS;FOLITROPINA ALFA - LUTROPINA ALFA;900 UI - 450 UI;SOLUCI‡N INYECTABLE;1 CARTUCHO por 1.44 ML PRELLENADO de SOLUCI‡N + 14 AGUJAS;INDICADO PARA LA ESTIMULACI‡N DEL DESARROLLO FOLICULAR EN MUJERES ADULTAS CON DEFICIENCIA SEVERA DE LH Y FSH.;VER PROSPECTO EN VADEMECUM ANMAT
TUTEUR S A C I F I A;59444;TISURAL;LEVOFLOXACINA;240 MG;SOLUCI‡N PARA INHALAR;56 AMPOLLAS por 2.4 ML;INDICADO PARA EL TRATAMIENTO DE INFECCIONES PULMONARES CR‡NICAS CAUSADAS POR PSEUDOMONAS AERUGINOSA EN PACIENTES ADULTOS CON FIBROSIS QU÷STICA (FQ);VER PROSPECTO EN VADEMECUM ANMAT
SIDUS SA;54993;CYCLOPARIN;HEPARINA SODICA;1000 UI/g;GEL;1 POMO por 60 G;TRATAMIENTO DE LAS AFECCIONES DEL SISITEMA VENOSO SUPERFICIAL. TROMBOFLEBITIS. TRATAMIENTO DE LA FLEBITIIS CAUSADA POR CATETER INTRAVENOSO. HEMATOMAS. TUMEFACCIONES. TRATAMEINTO DE CICATRICES.;VER PROSPECTO EN VADEMECUM ANMAT
BIOPROFARMA BAG‡ S.A.;59525;TEMASTE;TRIFLURIDINA-TIPIRACILO;15 MG ? 6,14 MG;COMPRIMIDO RECUBIERTO;20 UNIDADES;ANTINEOPLASICO;VER PROSPECTO EN VADEMECUM ANMAT
BIOPROFARMA BAG‡ S.A.;59525;TEMASTE;TRIFLURIDINA-TIPIRACILO;15 MG ? 6,14 MG;COMPRIMIDO RECUBIERTO;60 UNIDADES;ANTINEOPLASICO;VER PROSPECTO EN VADEMECUM ANMAT
BIOPROFARMA BAG‡ S.A.;59525;TEMASTE;TRIFLURIDINA-TIPIRACILO;20 MG ? 8,19 MG;COMPRIMIDO RECUBIERTO;20 UNIDADES;ANTINEOPLASICO;VER PROSPECTO EN VADEMECUM ANMAT
BIOPROFARMA BAG‡ S.A.;59525;TEMASTE;TRIFLURIDINA-TIPIRACILO;20 MG ? 8,19 MG;COMPRIMIDO RECUBIERTO;60 UNIDADES;ANTINEOPLASICO;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIO PABLO CASSARA        S R L;57081;MAXIVENT;BUDESONIDA - FUMARATO DE FORMOTEROL DIHIDRATADO;160 MCG - 4,5 MCG;CAPSULA CON POLVO PARA INHALAR;120 UNIDADES con POLVO PARA INHALAR + APLICADOR + 1 PROSPECTO ;ADRENERGICO Y CORTICOIDE, PARA EL TRATAMIENTO DE ENFERMEDADES OBSTRUCTIVAS DE LAS VIAS RESPIRATORIAS;VER PROSPECTO EN VADEMECUM ANMAT
VEINFAR INDUSTRIAL Y COMERCIAL SOCIEDAD ANONIMA;41052;DIFENHIDRAMINA LARJAN;DIFENHIDRAMINA CLORHIDRATO;10 MG / ML;INYECTABLE;100 FRASCO AMPOLLA por 10 ML;ANTIHISTAMINICO ANTIALERGICO;VER PROSPECTO EN VADEMECUM ANMAT
ROSPAW S.R.L.;58690;CILOSPAW;CILOSTAZOL;50 MG;COMPRIMIDO RECUBIERTO;500 COMPRIMIDOS;ANTITROMBOTICO ANTIAGREGANTE PLAQUETARIO Y VASODILATADOR PERIFERICO;VER PROSPECTO EN VADEMECUM ANMAT
ROSPAW S.R.L.;58690;CILOSPAW;CILOSTAZOL;100 MG;COMPRIMIDO RECUBIERTO;1000 COMPRIMIDOS;ANTITROMBOTICO ANTIAGREGANTE PLAQUETARIO Y VASODILATADOR PERIFERICO;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIO FECOFAR DE LA FEDERACION ARGENTINA DE COOPERATIVAS FARMACEUTICAS COOP.LTDA.;27064;CARAMELOS ANTIBIOTICOS FECOFAR FR FREE;BENZOCAINA - TIROTRICINA;20,7 MG - 1,04 MG;CARAMELOS;9 UNIDADES;ANTISEPTICO LOCAL ANESTESICO SE SUPERFICIE;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIO CELTYC S.A;59403;FUROSEMIDA CELTYC;FUROSEMIDA;20 MG / 2 ML;SOLUCI‡N INYECTABLE;100 AMPOLLA por 2 ML;DIURETICO;VER PROSPECTO EN VADEMECUM ANMAT
SOUBEIRAN CHOBET S.R.L.;47228;REM CHOBET;MIDAZOLAM;15 MG / 3 ML;SOLUCI‡N INYECTABLE;X 25 AMPOLLAS X 10 ML (c/u);SEDANTE          HIPN‡TICO . ANESTêSICO GENERAL, ADYUVANTE . ANESTêSICO LOCAL, ADYUVANTE.;VER PROSPECTO EN VADEMECUM ANMAT
ULTRA PHARMA S.A;59261;ULTRACICLIB;PALBOCICLIB;125 MG;CµPSULA DURA;21 UNIDADES;ANTINEOPLASICO;VER PROSPECTO EN VADEMECUM ANMAT
SAVANT PHARM S.A.;52167;REFLUPRAZOL;OMEPRAZOL;20 MG;CµPSULA DURA;30 UNIDADES;ANTIULCEROSO;VER PROSPECTO EN VADEMECUM ANMAT
SAVANT PHARM S.A.;52167;REFLUPRAZOL;OMEPRAZOL;20 MG;CµPSULA DURA;90 UNIDADES;ANTIULCEROSO;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIOS MAR S.A.;59014;OTIKIT L;CIPROFLOXACINA + LIDOCAINA CLORHIDRATO + HIDROCORTISONA MICRONIZADA;0.2 G / 100 ML + 5 G / 100 ML + 1 G / 100 ML;SUSPENSI‡N ‡TICA;1 FRASCO GOTERO por 5 ML;ANTIBIOTICO ANTIINFLAMATORIO ANESTESICO LOCAL DE USO OTICO;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIOS MAR S.A.;58532;KETOMAR 20;KETOROLAC TROMETAMINA;20 MG;COMPRIMIDO RECUBIERTO;10 COMPRIMIDOS;ANALGESICO ANTIINFLAMATORIO;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIOS MAR S.A.;58532;KETOMAR 20;KETOROLAC TROMETAMINA;20 MG;COMPRIMIDO RECUBIERTO;20 COMPRIMIDOS;ANALGESICO ANTIINFLAMATORIO;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIOS MAR S.A.;58532;KETOMAR SL;KETOROLAC TROMETAMINA;10 MG;COMPRIMIDOS SUBLINGUALES;10 COMPRIMIDOS;ANALGESICO ANTIINFLAMATORIO;VER PROSPECTO EN VADEMECUM ANMAT
RONNET LABORATOIRES S.A.;52851;RONEDINA;LORATADINA;1 MG / ML;SOLUCION ORAL;1 FRASCO por 120 ML;ANTIALERGICO;VER PROSPECTO EN VADEMECUM ANMAT
BIOTENK SA;44071;MIDATENK;METOCLOPRAMIDA (como M. CLORHIDRATO MONOHIDRATO);0,2ˇ G / 100 ML;GOTAS;1 FRASCO GOTERO x 20 ML;ANTIEMETICO GASTROCINETICO;VER PROSPECTO EN VADEMECUM ANMAT
BIOTENK SA;44071;MIDATENK;METOCLOPRAMIDA (como M. CLORHIDRATO MONOHIDRATO);0,5ˇ G / 100 ML;GOTAS;1 FRASCO GOTERO x 20 ML;ANTIEMETICO GASTROCINETICO;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIOS MAR S.A.;59374;DICLOMAR B12;DICLOFENAC POTµSICO + CIANOCOBALAMINA + BETAMETASONA;50 MG + 5 MG + 0.3 MG;COMPRIMIDO RECUBIERTO;10 UNIDADES;ANALGESICO ANTIINFLAMATORIO ANTINEURITICO;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIOS MAR S.A.;59374;DICLOMAR B12;DICLOFENAC POTµSICO + CIANOCOBALAMINA + BETAMETASONA;50 MG + 5 MG + 0.3 MG;COMPRIMIDO RECUBIERTO;20 UNIDADES;ANALGESICO ANTIINFLAMATORIO ANTINEURITICO;VER PROSPECTO EN VADEMECUM ANMAT
