MARZO 2021;;;;;;;;
LABORATORIO TITULAR;N° CERTIFICADO;NOMBRE COMERCIAL;NOMBRE GENERICO;CONCENTRACION;FORMA FARMACEUTICA;PRESENTACION;INDICACIONES / ACCION TERAPEUTICA;OBSERVACIONES
LABORATORIO ELEA PHOENIX S.A.;59239;LIPEX PLUS;ROSUVASTATINA - EZETIMIBA;20 MG - 10 MG;COMPRIMIDOS;30 COMPRIMIDOS;HIPERCOLESTEROLEMIA;VER PROSPECTO EN VNM
IVAX ARGENTINA S.A.;46282;COPAXONE PEN;ACETATO DE GLATIRAMER;40 MG / ML;SOLUCION INYECTABLE;12 LAPICERAS PRELLENADA;INDICADO PARA EL TRATAMIENTO DE PACIENTES CON FORMAS RECURRENTES DE ESCLEROSIS MULTIPLE (EM);VER PROSPECTO EN VNM
IVAX ARGENTINA S.A.;44707;CONFORMAL 200;CARBAMAZEPINA;200 MG;COMPRIMIDOS;1005 COMPRIMIDOS;ANTICONVULSIVANTE;VER PROSPECTO EN VNM
SAVANT PHARM S.A.;53793;DOLGENAL;PREGABALINA;75 MG;CAPSULAS;30 CAPSULAS;ANTIEPILÉPTICO ANTINEURÁLGICO ANSIOLÍTICO;VER PROSPECTO EN VNM
LABORATORIO INTERNACIONAL ARGENTINO S.A.;43764;DUVIG;DOBUTAMINA CLORHIDRATO;250 MG/ 20 ML;SOLUCION INYECTABLE;25 AMPOLLAS X 20 ML;INDICADA EN PACIENTES QUE REQUIEREN UN APOYO INOTROPICO POSITIVO EN EL TRATAMIENTO DE LA DESCOMPENSACION CARDIACA PRODUCIDA COMO RESULTADO DE UNA DEPRESION DE LA CONTRACTILIDAD A CONSECUENCIA DE UNA ENFERMEDAD ORGANICA DEL CORAZON O TRAS CIRUGIA CARDIACA ESPECIALMENTE CUANDO APARECEN ASOCIADOS UN GASTO CARDIACO BAJO A UNA PRESION CAPILAR PULMONAR AUMENTADA.;VER PROSPECTO EN VNM
DR LAZAR Y CIA S A QUIMICA E INDUSTRIAL;44832;FLOGOLISIN;DICLOFENAC SODICO ;75 MG;COMPRIMIDO RECUBIERTO;30 COMPRIMIDOS RECUBIERTOS;ANALGESICO ANTIINFLAMATORIO;VER PROSPECTO EN VNM
DR LAZAR Y CIA S A QUIMICA E INDUSTRIAL;54525;FLEBOSMINA;HIDROSMINA;200 MG;CAPSULAS DURAS;30 CAPSULAS DURAS;VENOTONICO ANTIVARICOSO;VER PROSPECTO EN VNM
GADOR S.A.;59330;VEKLURY;REMDESIVIR;100 MG/VIAL;POLVO CONCENTRADO PARA SOLUCION PARA PERFUSION;1 VIAL;INDICADO PARA EL TRATAMIENTO DELA ENFERMEDAD POR CORONAVIRUS 2019 (COVID 19)EN ADULTOS Y ADOLESCENTES (DE 12 AÑOS DE EDAD Y MAYORES CON UN PESO CORPORAL DE AL MENOS 40kG)CON NEUMONIA QUE REQUIERE OXIGENO COMPLEMENTARIO;SINTESIS TECNICA PARA PROFESIONALES
PINT PHARMA ARGENTINA S.A (EX CATALYSIS ARGENTINA S.A.);59128;BELEODAQ;BELINOSTAT;500 MG;POLVO LIOFILIZADO PARA INYECTABLE;1 FRASCO AMPOLLA; INDICADO PARA EL TRATAMIENTO DE PACIENTES CON LINFOMA DE CÉLULAS T PERIFÉRICO RECAÍDOS O REFRACTARIOS (PTCL);SINTESIS TECNICA PARA PROFESIONALES
QUIMICA MONTPELLIER S.A.;59201;LUCIDRON;LURASIDONA CLORHIDRATO;40 MG;COMPRIMIDOS;30 COMPRIMIDOS;ANTIPSICOTICO;VER PROSPECTO EN VNM
QUIMICA MONTPELLIER S.A.;59201;LUCIDRON;LURASIDONA CLORHIDRATO;80 MG;COMPRIMIDOS;30 COMPRIMIDOS;ANTIPSICOTICO;VER PROSPECTO EN VNM
SANT GALL FRIBURG Q.C.I.S.R.L.;51991;DICLOFENAC SANT GALL;DICLOFENAC SODICO;50 MG;COMPRIMIDO RECUBIERTO;15 COMPRIMIDOS RECUBIERTOS;ANALGESICO ANTIINFLAMATORIO ;VER PROSPECTO EN VNM
SANT GALL FRIBURG Q.C.I.S.R.L.;51991;DICLOFENAC SANT GALL;DICLOFENAC SODICO;50 MG;COMPRIMIDO RECUBIERTO;30 COMPRIMIDOS RECUBIERTOS;ANALGESICO ANTIINFLAMATORIO ;VER PROSPECTO EN VNM
SANT GALL FRIBURG Q.C.I.S.R.L.;51991;DICLOFENAC SANT GALL;DICLOFENAC SODICO;50 MG;COMPRIMIDO RECUBIERTO;100 COMPRIMIDOS RECUBIERTOS;ANALGESICO ANTIINFLAMATORIO ;VER PROSPECTO EN VNM
SANT GALL FRIBURG Q.C.I.S.R.L.;51991;DICLOFENAC SANT GALL;DICLOFENAC SODICO;50 MG;COMPRIMIDO RECUBIERTO;500 COMPRIMIDOS RECUBIERTOS;ANALGESICO ANTIINFLAMATORIO ;VER PROSPECTO EN VNM
SANT GALL FRIBURG Q.C.I.S.R.L.;51991;DICLOFENAC SANT GALL;DICLOFENAC SODICO;50 MG;COMPRIMIDO RECUBIERTO;1000 COMPRIMIDOS RECUBIERTOS;ANALGESICO ANTIINFLAMATORIO ;VER PROSPECTO EN VNM
SANT GALL FRIBURG Q.C.I.S.R.L.;51991;DICLOFENAC SANT GALL;DICLOFENAC SODICO;75 MG;COMPRIMIDO RECUBIERTO;15 COMPRIMIDOS RECUBIERTOS;ANALGESICO ANTIINFLAMATORIO ;VER PROSPECTO EN VNM
SANT GALL FRIBURG Q.C.I.S.R.L.;51991;DICLOFENAC SANT GALL;DICLOFENAC SODICO;75 MG;COMPRIMIDO RECUBIERTO;30 COMPRIMIDOS RECUBIERTOS;ANALGESICO ANTIINFLAMATORIO ;VER PROSPECTO EN VNM
SANT GALL FRIBURG Q.C.I.S.R.L.;51991;DICLOFENAC SANT GALL;DICLOFENAC SODICO;75 MG;COMPRIMIDO RECUBIERTO;100 COMPRIMIDOS RECUBIERTOS;ANALGESICO ANTIINFLAMATORIO ;VER PROSPECTO EN VNM
SANT GALL FRIBURG Q.C.I.S.R.L.;51991;DICLOFENAC SANT GALL;DICLOFENAC SODICO;75 MG;COMPRIMIDO RECUBIERTO;500 COMPRIMIDOS RECUBIERTOS;ANALGESICO ANTIINFLAMATORIO ;VER PROSPECTO EN VNM
SANT GALL FRIBURG Q.C.I.S.R.L.;51991;DICLOFENAC SANT GALL;DICLOFENAC SODICO;75 MG;COMPRIMIDO RECUBIERTO;1000 COMPRIMIDOS RECUBIERTOS;ANALGESICO ANTIINFLAMATORIO ;VER PROSPECTO EN VNM
LABORATORIOS RICHET S.A.;44738;AZTREONAM RICHET;AZTREONAM;1 G;SOLUCION INYECTABLE;25 FRASCOS AMPOLLA;ANTIMICROBIANO;VER PROSPECTO EN VNM
LABORATORIOS RICHET S.A.;44738;AZTREONAM RICHET;AZTREONAM;1 G;SOLUCION INYECTABLE;50 FRASCOS AMPOLLA;ANTIMICROBIANO;VER PROSPECTO EN VNM
INVESTI FARMA S.A.;59325;ISIS FREE;DROSPIRENONA;4 MG;COMPRIMIDO RECUBIERTO;28 COMPRIMIDOS RECUBIERTOS;ANOVULATORIO;VER PROSPECTO EN VNM
MEGALABS ARGENTINA S.A.U.;54833 ;DORPLEN 3;ESZOPICLONA;3 MG;COMPRIMIDO RECUBIERTO;30 COMPRIMIDOS RECUBIERTOS;HIPNÓTICO NO BENZODIAZEPÍNICO;VER PROSPECTO EN VNM
LABORATORIO PABLO CASSARÁ SRL;58893;RUBOX;OXIMETAZOLINA CLORHIDRATO;1 G%;CREMA DERMICA;1 POMO POR 30 G;ESTA INDICADO PARA EL TRATAMIENTO TOPICO DEL ERITEMA FACIAL PERSISTENTE ASOCIADO CON LA ROSACEA EN ADULTOS;VER PROSPECTO EN VNM
CELNOVA ARGENTINA S.A.;59159;TEGLUTIK® 5 MG-ML;RILUZOL;0,5 G/ 100 ML;SUSPENSIÓN ORAL;1 FRASCO POR 300 ML;INDICADO PARA PROLONGAR LA VIDA O EL TIEMPO HASTA LA INSTAURACION DE LA VENTILACION MECANICA EN PACIENTES CON ESCLEROSIS LATERAL AMIOTROFICA (ELA);VER PROSPECTO EN VNM
LABORATORIO LKM S.A.;49459;ZIDOVUDINA LKM;ZIDOVUDINA;200 MG/20 ML;SOLUCION INYECTABLE;1 FRASCO AMPOLLA;ANTIRRETROVIRAL;VER PROSPECTO EN VNM
LABORATORIO ELEA PHOENIX S.A.;59239;LIPEX PLUS;ROSUVASTATINA - EZETIMIBA;10 MG - 10 MG;COMPRIMIDOS;30 UNIDADES;HIPERCOLESTEROLEMIA;VER PROSPECTO EN VNM
LABORATORIO LKM S.A.;54891;DETAVI;DECITABINA;50 MG;POLVO LIOFILIZADO PARA INYECTABLE;1 FCO AMPOLLA;AGENTE ANTINEOPLASICO;VER PROSPECTO EN VNM
EUROFARMA ARGENTINA S.A.;59309;RIBEX;RIVAROXABAN;15 MG;COMPRIMIDO RECUBIERTO;30 COMPRIMIDOS RECUBIERTOS;AGENTE ANTITROMBOTICOS, INHIBIDOR DIRECTO DEL FACTOR Xa;VER PROSPECTO EN VNM
EUROFARMA ARGENTINA S.A.;59309;RIBEX;RIVAROXABAN;20 MG;COMPRIMIDO RECUBIERTO;30 COMPRIMIDOS RECUBIERTOS;AGENTE ANTITROMBOTICOS, INHIBIDOR DIRECTO DEL FACTOR Xa;VER PROSPECTO EN VNM
LABORATORIO ELEA PHOENIX S.A.;49588;NEUMOTEROL;BUDESONIDA – FORMOTEROL FUMARATO DIHIDRATO;160 MCG - 4,5 MCG;COMPRIMIDO RECUBIERTO;120 DOSIS;BUDESONIDE ES UN CORTICOSTEROIDE ANTIINFLAMATORIO Y FORMOTEROL ES UN BRONCODILATADOR DE LARGA DURACIÓN;VER PROSPECTO EN VNM
TECHSPHERE DE ARGENTINA S.A.;52696;ESPIROTECH;COLISTININA (COMO METALSULFONATO SODICO);100 MG;COMPRIMIDO RECUBIERTO;50 FCOS AMPOLLA POLVO + 50 FCOS AMPOLLA SOLVENTE;ANTIBIOTICO;VER PROSPECTO EN VNM
LABORATORIO VARIFARMA S.A.;57540;CELAZA;AZACITIDINA;100 MG;COMPRIMIDO RECUBIERTO;1 FRASCO AMPOLLA;ANTINEOPLASICO;VER PROSPECTO EN VNM
IVAX ARGENTINA S.A.;59158;LAFONTEN;LEVETIRACETAM;500 MG;COMPRIMIDO RECUBIERTO;30 COMPRIMIDOS RECUBIERTOS;ANTICONVULSIVANTE;VER PROSPECTO EN VNM
LABORATORIO ELEA PHOENIX S.A.;59280;REMIVOX;RIVAROXABAN;20 MG;COMPRIMIDO RECUBIERTO;28 COMPRIMIDOS RECUBIERTOS;AGENTE ANTITROMBOTICOS, INHIBIDOR DIRECTO DEL FACTOR Xa;VER PROSPECTO EN VNM
