AGOSTO 2020;;;;;;;;
LABORATORIO;CERT.;NOMBRE COMERCIAL;NOMBRE GENERICO;CC;FORMA FARMACEUTICA;UNIDADES;INDICACIONES/ ACCION TERAPEUTICA;OBSERVACIONES
PFIZER SRL;59190;TIGIFY;LORLATINIB;25 MG;COMPRIMIDOS RECUBIERTOS;30 COMPRIMIDOS RECUBIERTOS;AGENTE ANTINEOPLASICO;SINTESIS TECNICA PARA PROFESIONALES
PFIZER SRL;59190;TIGIFY;LORLATINIB;100 MG;COMPRIMIDOS RECUBIERTOS;30 COMPRIMIDOS RECUBIERTOS;AGENTE ANTINEOPLASICO;SINTESIS TECNICA PARA PROFESIONALES
ASTRAZENECA S.A.;58049;LYNPARZA;OLAPARIB;100 MG;COMPRIMIDOS RECUBIERTOS;56 COMPRIMIDOS;AGENTE ANTINEOPLASICO;VER PROSPECTO EN VNM ANMAT
ASTRAZENECA S.A.;58049;LYNPARZA;OLAPARIB;150 MG;COMPRIMIDOS RECUBIERTOS;56 COMPRIMIDOS;AGENTE ANTINEOPLASICO;VER PROSPECTO EN VNM ANMAT
SIDUS SOCIEDAD ANONIMA;57970;ARTRO RED;DICLOFENAC POTASICO -PARACETAMOL;50 MG - 500 MG;COMPRIMIDOS RECUBIERTOS;20 COMPRIMIDOS RECUBIERTOS;ANALGESICO ANTIINFLAMATORIO;VER PROSPECTO EN VNM ANMAT
HLB PHARMA GROUP S.A.;48825;AMINOFILINA RAMALLO;AMINOFILINA;240 ML / 10 ML;SOLUCION INYECTABLE;100 AMP X 10 ML;BRONCODILATADOR ESTIMULANTE RESPIRATORIO;VER PROSPECTO EN VNM ANMAT
HLB PHARMA GROUP S.A.;43297;AGUA ESTERIL PARA IRRIGACION QUIRURGICA;AGUA DESTILADA ESTERIL;100 ML;SOLUCION INYECTABLE;8 BOLSAS X 1000 ML;IRRIGACION QUIRURGICA;VER PROSPECTO EN VNM ANMAT
HLB PHARMA GROUP S.A.;43297;AGUA ESTERIL PARA IRRIGACION QUIRURGICA;AGUA DESTILADA ESTERIL;100 ML;SOLUCION INYECTABLE;4 BOLSAS X 1000 ML;IRRIGACION QUIRURGICA;VER PROSPECTO EN VNM ANMAT
HLB PHARMA GROUP S.A.;43297;AGUA ESTERIL PARA IRRIGACION QUIRURGICA;AGUA DESTILADA ESTERIL;100 ML;SOLUCION INYECTABLE;2 BOLSAS X 2000 ML;IRRIGACION QUIRURGICA;VER PROSPECTO EN VNM ANMAT
HLB PHARMA GROUP S.A.;43297;AGUA ESTERIL PARA IRRIGACION QUIRURGICA;AGUA DESTILADA ESTERIL;100 ML;SOLUCION INYECTABLE;4 BOLSAS X 4000 ML;IRRIGACION QUIRURGICA;VER PROSPECTO EN VNM ANMAT
SANOFI AVENTIS ARGENTINA SA;38615;AZACORTID®;DEFLAZACORT;6 MG;COMPRIMIDOS;20 COMPRIMDIOS;GLUCOCORTICOIDE;VER PROSPECTO EN VNM ANMAT
HLB PHARMA GROUP S.A.;43356 ;MANITOL 15%;MANITOL;15 %;SOLUCION PARENTERAL DE GRAN VOLUMEN;8 SACHETS X 1000 ML;DIURÉTICO OSMÓTICO ANTIGLAUCOMATOSO;VER PROSPECTO EN VNM ANMAT
HLB PHARMA GROUP S.A.;43356 ;MANITOL 15%;MANITOL;15 %;SOLUCION PARENTERAL DE GRAN VOLUMEN;15 SACHETS X 500 ML;DIURÉTICO OSMÓTICO ANTIGLAUCOMATOSO;VER PROSPECTO EN VNM ANMAT
HLB PHARMA GROUP S.A.;43356 ;MANITOL 15%;MANITOL;15 %;SOLUCION PARENTERAL DE GRAN VOLUMEN;25 SACHETS X 250 ML;DIURÉTICO OSMÓTICO ANTIGLAUCOMATOSO;VER PROSPECTO EN VNM ANMAT
HLB PHARMA GROUP S.A.;43356 ;MANITOL 15%;MANITOL;15 %;SOLUCION PARENTERAL DE GRAN VOLUMEN; 50 SACHETS  X 100 ML;DIURÉTICO OSMÓTICO ANTIGLAUCOMATOSO;VER PROSPECTO EN VNM ANMAT
