MAYO 2020;;;;;;;;;;
LABORATORIO;CERTIF.;NOMBRE COMERCIAL;NOMBRE GENERICO;CONC.;FORMA FARMACEUTICA;UNIDADES;INDICACION/ ACCION TERAPEUTICA;OBSERVACIONES;;
TUTEUR S A C I F I A;57359;PAZOPATER;PAZOPANIB;200 MG;COMPRIMIDOS;30 COMP.;AGENTE ANTINEOPLµSICO INHIBIDOR DE PROTE÷NKINASA;VER PROSPECTO EN VNM ANMAT;;
TUTEUR S A C I F I A;57359;PAZOPATER;PAZOPANIB;400 MG;COMPRIMIDOS;30 COMP.;AGENTE ANTINEOPLµSICO INHIBIDOR DE PROTE÷NKINASA;VER PROSPECTO EN VNM ANMAT;;
GOBBI NOVAG S.A.;40465;RONTAFOR;LEUCOVORINA CALCICA;50 MG / 5 ML;SOLUCION INYECTABLE;25 AMPOLLAS;ANTIDOTO DE LOS ANTAGONISTAS DEL ACIDO FOLICO, MODULADOR ANTINEOPLASICO, ANTIANEMICO. AGENTE DETOXIFICANTE PARA TRATAMIENTOS ANTINEOPLASICOS;VER PROSPECTO EN VNM ANMAT;;
PHORONEUS SRL;57883;FENILEFRINA PHORONEUS;FENILEFRINA CLORHIDRAO;10 MG / ML;SOLUCION INYECTABLE;100 AMPOLLAS;AGENTE SIMPATICOMIMêTICO CON ACCI‡N VASOCONSTRICTORA POR EFECTO DIRECTO SOBRE LOS RECEPTORES ALFA 1 ADRENêRGICOS;VER PROSPECTO EN VNM ANMAT;;
MONTE VERDE S.A.;59045;LURAZIC;LURASIDONA CLORHIDRATO;20 MG;COMPRIMIDOS RECUBIERTOS;30 COMP. RECUB.;ANTIPSICOTICO ATIPICO;VER PROSPECTO EN VNM ANMAT;;
MONTE VERDE S.A.;59045;LURAZIC;LURASIDONA CLORHIDRATO;80 MG;COMPRIMIDOS RECUBIERTOS;30 COMP. RECUB.;ANTIPSICOTICO ATIPICO;VER PROSPECTO EN VNM ANMAT;;
PHARMADORF S.A.;41020;MICRANIL;SUMATRIPTAN (COMO SUCCINATO);100 MG;COMPRIMIDOS RECUBIERTOS;6 COMP. RECUB.;ANTIMIGRA•ASO;VER PROSPECTO EN VNM ANMAT;;
DENVER FARMA S A;58947;MOXIDROP;MOXIFLOXACINA;5 MG;SOLUCION OFTALMICA;1 ENV X 5 ML;ANITBACTERIANO PARA USO TOPICO OCULAR;VER PROSPECTO EN VNM ANMAT;;
EUROFARMA ARGENTINA SA;55999ˇ;PREDUALERGIN CORT;BETAMETASONA + DESLORATADINA;0,6 MG - 5 MG;COMPRIMIDOS RECUBIERTOS;10 COMP. RECUB.;ANTIALERGICO ANTIINFLAMATORIO ANTIHISTAMINICO;VER PROSPECTO EN VNM ANMAT;;
PFIZER SRL;58932;NIMENRIX;POLISACARIDO DE NEISSERIA MENINGITIDIS GRUPO A CONJUGADO, ETC;;POLVO LIOFILIZADO + DISOLVENTE;1 FRASCO AMPOLLA;VACUNA ANTIMENINGOCOCO;SINTESIS TECNICA PARA PROFESIONALES;;
PFIZER SRL;58932;NIMENRIX;POLISACARIDO DE NEISSERIA MENINGITIDIS GRUPO A CONJUGADO, ETC;;POLVO LIOFILIZADO + DISOLVENTE;1 FRASCO AMPOLLA;VACUNA ANTIMENINGOCOCO;SINTESIS TECNICA PARA PROFESIONALES;;
PFIZER SRL;58932;NIMENRIX;POLISACARIDO DE NEISSERIA MENINGITIDIS GRUPO A CONJUGADO, ETC;;POLVO LIOFILIZADO + DISOLVENTE;1 FRASCO AMPOLLA;VACUNA ANTIMENINGOCOCO;SINTESIS TECNICA PARA PROFESIONALES;;
PFIZER SRL;58932;NIMENRIX;POLISACARIDO DE NEISSERIA MENINGITIDIS GRUPO A CONJUGADO, ETC;;POLVO LIOFILIZADO + DISOLVENTE;1 FRASCO AMPOLLA;VACUNA ANTIMENINGOCOCO;SINTESIS TECNICA PARA PROFESIONALES;;
GEMABIOTECH S.A.U.;56196;HEMASTIN P;ERITROPOYETINA HUMANA RECOMBINANTE (RHU-EPO);4000 ui;SOLUCION INYECTAHLE;100 UNIDADES;FACTOR ESTIMULADOR DE LA ERITROPOYESIS;VER PROSPECTO EN VNM ANMAT;;
GEMABIOTECH S.A.U.;56196;HEMASTIN P;ERITROPOYETINA HUMANA RECOMBINANTE (RHU-EPO);2000 UI;SOLUCION INYECTAHLE;100 UNIDADES;FACTOR ESTIMULADOR DE LA ERITROPOYESIS;VER PROSPECTO EN VNM ANMAT;;
PHORONEUS SRL;57861;ISOPROTERENOL PHORONEUS;ISOPROTERENOL;0,2 MG/ML;SOLUCION INYECTABLE;50 AMPOLLAS UH;ANTIARRITMICO DE EFECTO BETA ADRENERGICO;VER PROSPECTO EN VNM ANMAT;;
PHORONEUS SRL;57861;ISOPROTERENOL PHORONEUS;ISOPROTERENOL;0,2 MG/ML;SOLUCION INYECTABLE;100 AMPOLLAS UH;ANTIARRITMICO DE EFECTO BETA ADRENERGICO;VER PROSPECTO EN VNM ANMAT;;
MSD ARGENTINA S.R.L.;31358;CELESTONE CRONODOSE;BETAMETASONA ACETATO /BETAMETASONA (COMO FOSFATO DISODICO;3,0 MG/ML - 3,0 MG/ML;SUSPENSION INYECTABLE ;FRASCO AMPOLLA X 2 ML;ANTIINFLAMATORIOS ANTIRREUMµTICOS  ANTIALêRGICOS;VER PROSPECTO EN VNM ANMAT;;
TUTEUR S.A.C.I.F.I.A;58814;ZANTERIB;CABOZANTINIB;20 MG;COMPRIMIDOS RECUBIERTOS;30 COMP.;AGENTE ANTINEOPLµSICO INHIBIDOR DE LA PROTE÷NA QUINASA;VER PROSPECTO EN VNM ANMAT;;
NOVO NORDISK PHARMA ARGENTINA   S A;57336;TRESIBA;INSULINA DEGLUDEC ;200 U/ML;LAPICERA PRELLENADA;3 LAPICERAS PRELLENADAS X 3 ML;TRATAR LA DIABETES MELLITUS EN ADULTOS, ADOLESCENTES Y NI•OS DE 1 A•O EN ADENLANTE.;VER PROSPECTO EN VNM ANMAT;;
PFIZER SRL;59107;VIZIMPRO;DACOMITINIB;30 MG;COMPRIMIDOS RECUBIERTOS;30 COMP. RECUB.;AGENTE ANTINEOPLµSICO INHIBIDOR DE LA PROTE÷NA QUINASA;SINTESIS TECNICA PARA PROFESIONALES;;
PFIZER SRL;59107;VIZIMPRO;DACOMITINIB;15 MG;COMPRIMIDOS RECUBIERTOS;30 COMP. RECUB.;AGENTE ANTINEOPLµSICO INHIBIDOR DE LA PROTE÷NA QUINASA;SINTESIS TECNICA PARA PROFESIONALES;;
IVAX ARGENTINA S.A.;44316;CETIRIZINA TEVA;CETIRIZINA;20 MG;COMPRIMIDOS RECUBIERTOS;10 COMP. RECUB.;ANTIHISTAMINICO;VER PROSPECTO EN VNM ANMAT;;
LAFEDAR SOCIEDAD ANONIMA;58345ˇ;B-CAVIR;ENTECAVIR (COMO MONOHIDRATO);0,5 MG;COMPRIMIDOS RECUBIERTOS;30 COMP. RECUB.; TRATAR EL VIRUS DE LA HEPATITIS B (VHB) CR‡NICA EN ADULTOS Y NI•OS DE 6 A•OS DE EDAD Y MAYORES, QUE PESEN MµS DE 30 KG DE PESO CORPORAL, QUE TIENEN ENFERMEDAD HEPµTICA ACTIVA;VER PROSPECTO EN VNM ANMAT;;
QUIMICA ARISTON       S A I C I F;58522;CLOMISAL DIVIDOSIS;CLOMIPRAMINA CLORHIDRATO;75 MG;COMPRIMIDOS RANURADOS;20 COMP. RANURADOS;ANTIDEPRESIVO;VER PROSPECTO EN VNM ANMAT;;
QUIMICA ARISTON       S A I C I F;58522;CLOMISAL DIVIDOSIS;CLOMIPRAMINA CLORHIDRATO;75 MG;COMPRIMIDOS RANURADOS;30 COMP. RANURADOS;ANTIDEPRESIVO;VER PROSPECTO EN VNM ANMAT;;
QUIMICA ARISTON       S A I C I F;58522;CLOMISAL DIVIDOSIS;CLOMIPRAMINA CLORHIDRATO;75 MG;COMPRIMIDOS RANURADOS;500 COMP. RANURADOS;ANTIDEPRESIVO;VER PROSPECTO EN VNM ANMAT;;
ASOFARMA SAIyC.;47287;TROZOLITE;ANASTROZOL;1 MG;COMPRIMIDO RECUBIERTO;30 COMP. RECUB.;AGENTE ANTINEOPLASICO INHIBIDOR DE LA AROMATASA;VER PROSPECTO EN VNM ANMAT;;
AMGEN BIOTECNOLOG÷A DE ARGENTINA S.R.L.;59081;KANJINTI;TRASTUZUMAB;420 MG;POLVO LIOFILIZADO;1 VIAL;ANTINEOPLASICO ANTICUERPO MONOCLONAL;VER PROSPECTO EN VNM ANMAT;;
