JULIO 2020;;;;;;;;;;;
LABORATORIO;CERT.;NOMBRE COMERCIAL;NOMBRE GENERICO;CC.;FORMA FARMACEUTICA;UNIDADES;INDICACION/ ACCION TERAPEUTICA;OBSERVACIONES;;;
LABORATORIO ECZANE PHARMA S A;58215;PROBLOCK;BISOPROLOL FUMARATO;10 MG;COMPRIMIDOS RECUBIERTOS;1200 COMPRIMIDOS RECUBIERTOS;BETABLOQUEANTE ·-1 SELECTIVO;VER PROSPECTO EN VNM ANMAT;;;
LABORATORIO ECZANE PHARMA S A;58582;DASATIXANE;DASATINIB;20 MG;COMPRIMIDOS RECUBIERTOS;60 COMPRIMIDOS RECUBIERTOS;AGENTE ANTINEOPLASICO INHIBIDOR DE TIROSINA QUINASAS ;VER PROSPECTO EN VNM ANMAT;;;
LABORATORIO ECZANE PHARMA S A;58582;DASATIXANE;DASATINIB;50 MG;COMPRIMIDOS RECUBIERTOS;60 COMPRIMIDOS RECUBIERTOS;AGENTE ANTINEOPLASICO INHIBIDOR DE TIROSINA QUINASAS ;VER PROSPECTO EN VNM ANMAT;;;
SANOFI AVENTIS ARGENTINA SA;15263;BUSCAPINA ;HIOSCINA BUTILBROMURO;20 MG / ML;SOLUCION INYECTABLE;3 AMPOLLAS X 1 ML;ANTIESPASMODICO;VER PROSPECTO EN VNM ANMAT;;;
SANOFI AVENTIS ARGENTINA SA;35944;MUCOSOLVAN;CLORHIDRATO DE AMBROXOL;300 MG / 100 ML;JARABE;1 FRASCO X 120 ML;EXPECTORANTE;VER PROSPECTO EN VNM ANMAT;;;
SANOFI AVENTIS ARGENTINA SA;18978;DULCOLAX PERLAS;PICOSULFATO DE SODIO;2,5 MG;CAPSULAS BLANDAS;50 CAPSULAS BLANDAS;LAXANTE;VER PROSPECTO EN VNM ANMAT;;;
SANOFI AVENTIS ARGENTINA SA;39211;SABRIL;VIGABATRINA;500 MG;COMPRIMIDOS RECUBIERTOS;60 COMPRIMIDOS RECUBIERTOS;ANTICONVULSIVANTE;VER PROSPECTO EN VNM ANMAT;;;
LABORATORIO ELEA PHOENIX S.A.;32250;DELTISONA B;MEPREDNISONA;4 MG / ML;SOLUCION ORAL;1 FRASCO GOTERO X 20 ML;GLUCOCORTICOIDE;VER PROSPECTO EN VNM ANMAT;;;
LABORATORIO DOMINGUEZ S.A.;54281;RIFADOM;RIFAXIMINA;200 MG;COMPRIMIDOS RECUBIERTOS;10 COMPRIMIDOS RECUBIERTOS;ANTIMICROBIANO;VER PROSPECTO EN VNM ANMAT;;;
LABORATORIOS RICHET S A;53053;CARVELIDOL RICHET;CARVEDILOL;12,5 MG;COMPRIMIDOS RECUBIERTOS;30 COMPRIMIDOS RECUBIERTOS;ANTIHIPERTENSIVO ANTIANGINOSO TRATAMIENTO DE LA INSUFICIENCIA CARD÷ACA CONGESTIVA (CLASE II - III / NYHA).;VER PROSPECTO EN VNM ANMAT;;;
LABORATORIOS RICHET S A;53053;CARVELIDOL RICHET;CARVEDILOL;12,5 MG;COMPRIMIDOS RECUBIERTOS;56 COMPRIMDOS RECUBIERTOS;ANTIHIPERTENSIVO ANTIANGINOSO TRATAMIENTO DE LA INSUFICIENCIA CARD÷ACA CONGESTIVA (CLASE II - III / NYHA).;VER PROSPECTO EN VNM ANMAT;;;
LABORATORIOS RICHET S A;53053;CARVELIDOL RICHET;CARVEDILOL;25 MG;COMPRIMIDOS RECUBIERTOS;56 COMPRIMDOS RECUBIERTOS;ANTIHIPERTENSIVO ANTIANGINOSO TRATAMIENTO DE LA INSUFICIENCIA CARD÷ACA CONGESTIVA (CLASE II - III / NYHA).;VER PROSPECTO EN VNM ANMAT;;;
" 
IVAX ARGENTINA SOCIEDAD ANONIMA";58920;ARTOMEY PLUS;ROSUVASTATINA - EZETIMIBA;5-10 MG;COMPRIMIDOS;30 COMPRIMIDOS;"MODIFICADORES DE L÷PIDOS; INHIBIDORES DE LA HMG-COA REDUCTASA EN COMBINACI‡N CON OTROS AGENTES MODIFICADORES DE LOS L÷PIDOS.";VER PROSPECTO EN VNM ANMAT;;;
" 
IVAX ARGENTINA SOCIEDAD ANONIMA";58920;ARTOMEY PLUS;ROSUVASTATINA - EZETIMIBA;10-10 MG;COMPRIMIDOS;30 COMPRIMIDOS;"MODIFICADORES DE L÷PIDOS; INHIBIDORES DE LA HMG-COA REDUCTASA EN COMBINACI‡N CON OTROS AGENTES MODIFICADORES DE LOS L÷PIDOS.";VER PROSPECTO EN VNM ANMAT;;;
" 
IVAX ARGENTINA SOCIEDAD ANONIMA";58920;ARTOMEY PLUS;ROSUVASTATINA - EZETIMIBA;20-10 MG;COMPRIMIDOS;30 COMPRIMIDOS;"MODIFICADORES DE L÷PIDOS; INHIBIDORES DE LA HMG-COA REDUCTASA EN COMBINACI‡N CON OTROS AGENTES MODIFICADORES DE LOS L÷PIDOS.";VER PROSPECTO EN VNM ANMAT;;;
GADOR SA;59174;ARKUS 40;CABOZANTINIB;40 MG;COMPRIMIDOS RECUBIERTOS;30 COMPRIMIDOS RECUBIERTOS;AGENTE ANTINEOPLASICO INHIBIDOR DIRECTO DE LA PROTEIN QUINASA;VER PROSPECTO EN VNM ANMAT;;;
LAFEDAR SOCIEDAD ANONIMA;56421ˇ;ISEDIS;BACLOFENO;10 MG;COMPRIMIDOS;60 COMPRIMIDOS;ANTIESPASTICO;VER PROSPECTO EN VNM ANMAT;;;
ROSPAW SRL;58438;FAXIPAW;VENLAFAXINA;25 MG;COMPRIMIDOS;30 COMPRIMIDOS;ANTIDEPRESIVO;VER PROSPECTO EN VNM ANMAT;;;
ROSPAW SRL;58438;FAXIPAW;VENLAFAXINA;25 MG;COMPRIMIDOS;500 COMPRIMIDOS;ANTIDEPRESIVO;VER PROSPECTO EN VNM ANMAT;;;
ROSPAW SRL;58438;FAXIPAW;VENLAFAXINA;50 MG;COMPRIMIDOS;30 COMPRIMIDOS;ANTIDEPRESIVO;VER PROSPECTO EN VNM ANMAT;;;
ROSPAW SRL;58438;FAXIPAW;VENLAFAXINA;50 MG;COMPRIMIDOS;500 COMPRIMIDOS;ANTIDEPRESIVO;VER PROSPECTO EN VNM ANMAT;;;
ROSPAW SRL;58438;FAXIPAW;VENLAFAXINA;75 MG;COMPRIMIDOS;30 COMPRIMIDOS;ANTIDEPRESIVO;VER PROSPECTO EN VNM ANMAT;;;
ROSPAW SRL;58438;FAXIPAW;VENLAFAXINA;75 MG;COMPRIMIDOS;500 COMPRIMIDOS;ANTIDEPRESIVO;VER PROSPECTO EN VNM ANMAT;;;
PFIZER SRL;49844;CABASER;CABERGOLINA;1 MG;COMPRIMIDOS;30 COMPRIMIDOS;AGONISTA DOPAMINERGICO;VER PROSPECTO EN VNM ANMAT;;;
LAFEDAR S.A;53589;OCUTEARS;HIDROXIPROPIL-METILCELULOSA 4000 cps;3 MG/ML;SOLUCION OFTALMICA ESTERIL;1 FRASCO X 15 ML;PROTECTOR Y LUBRICANTE OCULAR;VER PROSPECTO EN VNM ANMAT;;;
LAFEDAR S.A;53589;OCUTEARS;HIDROXIPROPIL-METILCELULOSA 4000 cps;3 MG/ML;SOLUCION OFTALMICA ESTERIL;25 FRASCO X 15 ML;PROTECTOR Y LUBRICANTE OCULAR;VER PROSPECTO EN VNM ANMAT;;;
LAFEDAR S.A;58318;HEPAGRIS;SOFOSBUVIR;400 MG;COMPRIMIDOS RECUBIERTOS;28 COMPRIMIDOS RECUBIERTOS;ANTIVIRAL INDICADO PARA EL TRATAMIENTO DE LA INFECCION POR HEPATITIS C;VER PROSPECTO EN VNM ANMAT;;;
LABORATORIO LKM S.A.;57464;GYSATY;BORTEZOMIB;3,5 MG;POLVO LIOFILIZADO PARA INYECTABLE;1 FRASCO AMPOLLA por 3,5 MG + 1 FCO AMP SOLVENTE;AGENTE ANTINEOPLASICO;VER PROSPECTO EN VNM ANMAT;;;
LABORATORIO LKM S.A.;46564;LIBERPROST;BICALUTAMIDA;50 MG;COMPRIMIDO RECUBIERTO;28 COMPRIMIDOS RECUBIERTOS;AGENTE ANTINEOPLASICO;VER PROSPECTO EN VNM ANMAT;;;
DRAWER S.A.;53483;IMIPINEM DRAWER;IMIPENEM -  CILASTATINA SODICA;500 MG - 500 MG;POLVO PARA INYECTABLE;50 FRASCO AMPOLLAS ;ANTIMICROBIANO;VER PROSPECTO EN VNM ANMAT;;;
INSTITUTO SEROTERµPICO ARGENTINO S.A.I.C.;56322;PARACETAMOL ISA FORTE;PARACETAMOL;650 MG;COMPRIMIDOS;500 COMPRIMIDOS;ANALGESICO;VER PROSPECTO EN VNM ANMAT;;;
LABORATORIOS RICHET S.A.;58428;PREGABALINA RICHET;PREGABALINA;75 MG;CAPSULAS DURAS;60 CAPSULAS DURAS;ANTIEPILEPTICO ANTINEURALGICO;VER PROSPECTO EN VNM ANMAT;;;
LABORATORIOS RICHET S.A.;52718;ROSUVASTATINA RICHET;ROSUVASTATINA;10 MG;COMPRIMIDOS RECUBIERTOS;30 COMPRIMIDOS RECUBIERTOS;INHIBIDOR DE LA 3-HIDROXI-3-METILGLUTARIL-COENZIMA A (HMG-COA) REDUCTASA;VER PROSPECTO EN VNM ANMAT;;;
LABORATORIOS RICHET S.A.;52718;ROSUVASTATINA RICHET;ROSUVASTATINA;20 MG;COMPRIMIDOS RECUBIERTOS;30 COMPRIMIDOS RECUBIERTOS;INHIBIDOR DE LA 3-HIDROXI-3-METILGLUTARIL-COENZIMA A (HMG-COA) REDUCTASA;VER PROSPECTO EN VNM ANMAT;;;
GADOR SA;59110;PALIAX 320;VALSARTAN ;320 MG;COMPRIMIDOS RECUBIERTOS;30 COMPRIMIDOS RECUBIERTOS;ANTIHIPERTENSIVO;VER PROSPECTO EN VNM ANMAT;;;
PHARMADORF S.A.;34600;KARILE 40;NORTRIPTILINA CLORHIDRATO - PERFENAZINA;40 MG/ 2 MG;COMPRIMIDO;50 COMPRIMIDOS;ANTIDEPRESIVO ANTIPSICOTICO;VER PROSPECTO EN VNM ANMAT;;;
INSTITUTO BIOLOGICO CONTEMPORANEO S.A.;59055;LIDOCAINA 2% PHARMAVIAL;LIDOCAINA CLORHIDRATO ;400 MG;SOLUCION INYECTABLE;50 UNIDADES;ANESTESICO LOCAL;VER PROSPECTO EN VNM ANMAT;;;
GEMABIOTECH S A U;56135;PEG - NEUTROPINA;PEG-FILGRASTIM;6 MG;SOLUCION INYECTABLE;1 JERINGA PRELLENADA;FACTOR ESTIMULANTE DE COLONIAS GRANULOC÷TICAS QUE ESTµ INDICADO PARA DISMINUIR LA INCIDENCIA DE INFECCIONES, EN PACIENTES CON TUMORES NO MIELOIDES TRATADOS CON DROGAS ANTICANCER÷GENAS MIELOSUPRESORAS ASOCIADAS CON UNA IMPORTANTE INCIDENCIA CL÷NICA DE NEUTROPENIA FEBRIL;VER PROSPECTO EN VNM ANMAT;;;
GENOMMA LABORATORIES ARGENTINA SA;59007;LOMECAN V 1 DIA;COTRIMAZOL;500 MG;OVULOS;1 OVULO;ANTIMICOTICO;VER PROSPECTO EN VNM ANMAT;;;
LABORATORIO ELEA PHOENIX SA;59152;ALERNIX SPRAY;XILOMETAZOLINA CLORHIDRATO;0,10%;SPRAY INTRANASAL;1 FRASCO;DESCONGESTIVO TOPICO DE LA MUCOSA NASAL Y RINOFARINGEA;VER PROSPECTO EN VNM ANMAT;;;
IVAX ARGENTINA SOCIEDAD ANONIMA;44278;MINUSLIP;FENOFIBRATO;200 MG;CAPSULAS;1000 CAPSULAS UH;HIPOLIPEMIANTE;VER PROSPECTO EN VNM ANMAT;;;
