DICIEMBRE 2021;;;;;;;;
LABORATORIO TITULAR;N¯ CERTIFICADO;NOMBRE COMERCIAL;NOMBRE GENERICO;CC;FORMA FARMACEUTICA;PRESENTACION;INDICACIONES/ ACCION TERAPEUTICA;OBSERVACIONES
LABORATORIO PABLO CASSARµ S.R.L;52443;TIMOPLOS LC;TIMOLOL MALEATO;500 MG /100 ML;SOLUCION OFTALMICA ESTERIL;1 FRASCO CONTENIENDO 7,5 ml de SOLUCION;ANTIGLAUCOMATOSO;VER PROSPECTO EN VNM ANMAT
AMGEN BIOTECNOLOGIA DE ARGENTINA SRL;59494;MVASI;BEVACIZUMAB;25 MG / ML;CONCENTRADO PARA SOLUCI‡N PARA INFUSI‡N;1 FRASCO AMPOLLA por 4 ML de soluci¢n en un vial (Vidrio tipo I) con tap¢n (goma but°lica) que contiene 100 MG de Bevacizumab.;AGENTE ANTINEOPLASICO;VER PROSPECTO EN VNM ANMAT
AMGEN BIOTECNOLOGIA DE ARGENTINA SRL;59494;MVASI;BEVACIZUMAB;25 MG / ML;CONCENTRADO PARA SOLUCI‡N PARA INFUSI‡N;1 FRASCO AMPOLLA por 16 ML de soluci¢n en un vial (Vidrio tipo I) con tap¢n (goma but°lica) que contiene 400 MG de Bevacizumab.;AGENTE ANTINEOPLASICO;VER PROSPECTO EN VNM ANMAT
TAKEDA ARGENTINA S.A.;59063;RIXUBIS;FACTOR IX DE COAGULACI‡N RECOMBINANTE;500 UI;POLVO LIOFILIZADO INYECTABLE;1 FCO AMP CON POLVO + 1 FCO AMP SOLVENTE + 1 DISPOSITIVO DE BAXJECT II;ESTµ INDICADO PARA EL TRATAMIENTO Y PROFILAXIS DE LAS HEMORRAGIAS EN PACIENTES CON HEMOFILIA B (DEFICIENCIA CONGêNITA DE FACTOR IX);VER PROSPECTO EN VNM ANMAT
TAKEDA ARGENTINA S.A.;59063;RIXUBIS;FACTOR IX DE COAGULACI‡N RECOMBINANTE;1000 UI;POLVO LIOFILIZADO INYECTABLE;1 FCO AMP CON POLVO + 1 FCO AMP SOLVENTE + 1 DISPOSITIVO DE BAXJECT II;ESTµ INDICADO PARA EL TRATAMIENTO Y PROFILAXIS DE LAS HEMORRAGIAS EN PACIENTES CON HEMOFILIA B (DEFICIENCIA CONGêNITA DE FACTOR IX);VER PROSPECTO EN VNM ANMAT
LABORATORIO ELEA PHOENIX S.A.;59408;RISTONEL 200;VALSARTAN / SACUBITRIOL;103 MG / 97 MG;COMPRIMIDO RECUBIERTO;60 UNIDADES;ANTAGONISTA DE LA ANGIOTENSINA II, otras combinaciones;VER PROSPECTO EN VNM ANMAT
LABORATORIOS BERNABO SOCIEDAD ANONIMA;57446;SUBICAL CB 800;COLECALCIFEROL (VITAMINA D3);800 UI;CAPSULA BLANDA;28 UNIDADES;VITAMINOTERAPIA D POR VIA ORAL;VER PROSPECTO EN VNM ANMAT
LABORATORIOS BERNABO SOCIEDAD ANONIMA;57446;SUBICAL CB 800;COLECALCIFEROL (VITAMINA D3);5600 UI;CAPSULA BLANDA;4 UNIDADES;VITAMINOTERAPIA D POR VIA ORAL;VER PROSPECTO EN VNM ANMAT
LABORATORIOS BERNABO SOCIEDAD ANONIMA;57446;SUBICAL CB 800;COLECALCIFEROL (VITAMINA D3);25000 UI;CAPSULA BLANDA;2 UNIDADES;VITAMINOTERAPIA D POR VIA ORAL;VER PROSPECTO EN VNM ANMAT
LABORATORIOS BERNABO SOCIEDAD ANONIMA;57446;SUBICAL CB 800;COLECALCIFEROL (VITAMINA D3);25000 UI;CAPSULA BLANDA;4 UNIDADES;VITAMINOTERAPIA D POR VIA ORAL;VER PROSPECTO EN VNM ANMAT
ROEMMERS S A I C F;50938;IRAZEM 5 MG;ARIPIPRAZOL;5 MG;COMPRIMIDO;60 UNIDADES;ANTIPSICOTICO;VER PROSPECTO EN VNM ANMAT
ROEMMERS S A I C F;50938;IRAZEM 10 MG;ARIPIPRAZOL;10 MG;COMPRIMIDO; 60 UNIDADES;ANTIPSICOTICO;VER PROSPECTO EN VNM ANMAT
SANOFI-AVENTIS ARGENTINA SOCIEDAD ANONIMA;25849;FLAGYL;METRONIDAZOL;500 MG;OVULOS;10 UNIDADES;ANTIMICROBIANO;VER PROSPECTO EN VNM ANMAT
LABORATORIO INTERNACIONAL ARGENTINO S.A.;46078;DOPAMINA NORTHIA;DOPAMINA CLORHIDRATO;100 MG / 5 ML;INYECTABLE PARA PERFUSI‡N;25 AMPOLLAS POR 5 ML UH;SIMPATICOMIMêTICO (ESTIMULANTE DE LOS RECEPTORES B1 DEL MÈSCULO CARD÷ACO);VER PROSPECTO EN VNM ANMAT
RONNET LABORATOIRES S.A.;48709;NORMASEC;LOPERAMIDA CLORHIDRATO;2 MG;COMPRIMIDO;20 UNIDADES;ANTIDIARREICO;VER PROSPECTO EN VNM ANMAT
RONNET LABORATOIRES S.A.;49952;NALGIFLEX;DICLOFENAC SODICO;50 MG;COMPRIMIDO RECUBIERTO;15 UNIDADES;ANALGESICO ANTIINFLAMATORIO;VER PROSPECTO EN VNM ANMAT
RONNET LABORATOIRES S.A.;49952;NALGIFLEX;DICLOFENAC SODICO;50 MG;COMPRIMIDO RECUBIERTO;30 UNIDADES;ANALGESICO ANTIINFLAMATORIO;VER PROSPECTO EN VNM ANMAT
RONNET LABORATOIRES S.A.;49952;NALGIFLEX;DICLOFENAC SODICO;75 MG;COMPRIMIDO RECUBIERTO;15 UNIDADES;ANALGESICO ANTIINFLAMATORIO;VER PROSPECTO EN VNM ANMAT
RONNET LABORATOIRES S.A.;49952;NALGIFLEX;DICLOFENAC SODICO;75 MG;COMPRIMIDO RECUBIERTO;30 UNIDADES;ANALGESICO ANTIINFLAMATORIO;VER PROSPECTO EN VNM ANMAT
RONNET LABORATOIRES S.A.;49952;NALGIFLEX;DICLOFENAC SODICO;1.16 G (equivalente a 1 G);GEL;1 POMO X 50 G;ANALGESICO ANTIINFLAMATORIO;VER PROSPECTO EN VNM ANMAT
LABORATORIO VARIFARMA S.A.;59473;NADRIB©;CLADRIBINA;10 MG;COMPRIMIDO;1 COMPRIMIDO;TRATAMIENTO DE PACIENTES ADULTOS CON ESCLEROSIS MULTIPLE RECURRENTE MUY ACTIVA DEFINIDA MEDIANTE CARACTERISTICAS CLINICAS O DE IMAGEN;VER PROSPECTO EN VNM ANMAT
ULTRA PHARMA S.A.;59054;METRONIDAZOL UPL;METRONIDAZOL 500 MG/100 ML;500 MG/ 100 ML;SOLUCION PARENTERAL DE GRAN VOLUMEN;60 BOLSAS X 100 ML;ANTIMICROBIANO;VER PROSPECTO EN VNM ANMAT
LAFEDAR S.A;45603;FULLCAINA;LIDOCAINA;10 G / 100 ML;SPRAY TOPICO;1 ENV X 50 ML;ANESTESICO TOPICO PARA MUCOSAS Y SEMIMUCOSAS;VER PROSPECTO EN VNM ANMAT
KLONAL SRL;43298;VELEXINA;CEFALEXINA;250 MG/ 5 ML;POLVO PARA SUSPENSI‡N ORAL;96 FRASCOS POR 90 ML;ANTIMICROBIANO;VER PROSPECTO EN VNM ANMAT
OXAPHARMA S.A.;58552;ISOTAN;ISOTETRINOINA;20 MG;CAPSULA BLANDA;60 CAPSULAS BLANDAS;TRATAMIENTO DEL ACNE SEVERO;VER PROSPECTO EN VNM ANMAT
LABORATORIOS BAGO S A;46865;SEROQUEL 25;QUETIAPINA (COMO FUMARATO);25 MG;COMPRIMIDO RECUBIERTO;10 UNIDADES;ANTIPSICOTICO;VER PROSPECTO EN VNM ANMAT
LABORATORIOS BAGO S A;46865;SEROQUEL 25;QUETIAPINA (COMO FUMARATO);25 MG;COMPRIMIDO RECUBIERTO;30 UNIDADES;ANTIPSICOTICO;VER PROSPECTO EN VNM ANMAT
LABORATORIOS BAGO S A;46865;SEROQUEL 100;QUETIAPINA (COMO FUMARATO);100 MG;COMPRIMIDO RECUBIERTO;30 UNIDADES;ANTIPSICOTICO;VER PROSPECTO EN VNM ANMAT
LABORATORIOS BAGO S A;46865;SEROQUEL 200;QUETIAPINA (COMO FUMARATO);200 MG;COMPRIMIDO RECUBIERTO;30 UNIDADES;ANTIPSICOTICO;VER PROSPECTO EN VNM ANMAT
LABORATORIOS BAGO S A;46865;SEROQUEL XR 50;QUETIAPINA (COMO FUMARATO);50 MG;COMPRIMIDO RECUBIERTO DE LIBERACI‡N PROLONGADA;30 UNIDADES;ANTIPSICOTICO;VER PROSPECTO EN VNM ANMAT
LABORATORIOS BAGO S A;46865;SEROQUEL XR 200;QUETIAPINA (COMO FUMARATO);200 MG;COMPRIMIDO RECUBIERTO DE LIBERACI‡N PROLONGADA;30 UNIDADES;ANTIPSICOTICO;VER PROSPECTO EN VNM ANMAT
LABORATORIOS BAGO S A;46865;SEROQUEL XR 300;QUETIAPINA (COMO FUMARATO);300 MG;COMPRIMIDO RECUBIERTO DE LIBERACI‡N PROLONGADA;30 UNIDADES;ANTIPSICOTICO;VER PROSPECTO EN VNM ANMAT
LABORATORIO ELEA PHOENIX S.A.;59408;RISTONEL 50;VALSARTAN / SACUBITRILO;26MG / 24MG;COMPRIMIDO RECUBIERTO;30 UNIDADES;ANTAGONISTA DE LA ANGIOTENSINA II, otras combinaciones;VER PROSPECTO EN VNM ANMAT
LABORATORIO ELEA PHOENIX S.A.;59408;RISTONEL 100;VALSARTAN / SACUBITRILO;51MG / 49MG;COMPRIMIDO RECUBIERTO;30 UNIDADES;ANTAGONISTA DE LA ANGIOTENSINA II, otras combinaciones;VER PROSPECTO EN VNM ANMAT
LABORATORIO ELEA PHOENIX S.A.;59408;RISTONEL 100;VALSARTAN / SACUBITRILO;51MG / 49MG;COMPRIMIDO RECUBIERTO;60 UNIDADES;ANTAGONISTA DE LA ANGIOTENSINA II, otras combinaciones;VER PROSPECTO EN VNM ANMAT
HLB PHARMA GROUP S.A.;52067;N14 GLIBE;GLIBENCLAMIDA;5 MG;COMPRIMIDO;30 UNIDADES;HIPOGLUCEMIANTE ORAL;VER PROSPECTO EN VNM ANMAT
HLB PHARMA GROUP S.A.;52067;N14 GLIBE;GLIBENCLAMIDA;5 MG;COMPRIMIDO;60 UNIDADES;HIPOGLUCEMIANTE ORAL;VER PROSPECTO EN VNM ANMAT
HLB PHARMA GROUP S.A.;52067;N14 GLIBE;GLIBENCLAMIDA;5 MG;COMPRIMIDO;750 UNIDADES;HIPOGLUCEMIANTE ORAL;VER PROSPECTO EN VNM ANMAT
HLB PHARMA GROUP S.A.;52067;N14 GLIBE;GLIBENCLAMIDA;5 MG;COMPRIMIDO;1500 UNIDADES;HIPOGLUCEMIANTE ORAL;VER PROSPECTO EN VNM ANMAT
LABORATORIO INTERNACIONAL ARGENTINO S.A.;48909;ONDANSETRON NORTHIA;ONDANSETRON CLORHIDRATO DIHIDRATO;2,5 MG / ML;INYECTABLE;25 AMPOLLAS POR 4 ML UHE;ANTIEMETICO;VER PROSPECTO EN VNM ANMAT
KLONAL SRL;45928;VANCOMAX;VANCOMICINA (COMO CLORHIDRATO);500 MG;POLVO INYECTABLE;100 FRASCO AMPOLLA POR 10 ML;ANTIMICROBIANO;VER PROSPECTO EN VNM ANMAT
LABORATORIOS ASPEN S.A.;59348;FRIRACIL;TRIFLURIDINA - TIPIRACILO;15 MG - 6,14 MG;COMPRIMIDO RECUBIERTO;20 UNIDADES;AGENTE ANTINEOPLASICO;VER PROSPECTO EN VNM ANMAT
LABORATORIOS ASPEN S.A.;59348;FRIRACIL;TRIFLURIDINA - TIPIRACILO;15 MG - 6,14 MG;COMPRIMIDO RECUBIERTO; 60 UNIDADES;AGENTE ANTINEOPLASICO;VER PROSPECTO EN VNM ANMAT
LABORATORIOS ASPEN S.A.;59348;FRIRACIL;TRIFLURIDINA - TIPIRACILO;20 MG - 8,19 MG;COMPRIMIDO RECUBIERTO; 20 UNIDADES;AGENTE ANTINEOPLASICO;VER PROSPECTO EN VNM ANMAT
LABORATORIOS ASPEN S.A.;59348;FRIRACIL;TRIFLURIDINA - TIPIRACILO;20 MG - 8,19 MG;COMPRIMIDO RECUBIERTO; 60 UNIDADES;AGENTE ANTINEOPLASICO;VER PROSPECTO EN VNM ANMAT
RONNET LABORATOIRES S.A.;48842;CESTROPAN;PARACETAMOL;500 MG;COMPRIMIDO;500 UNIDADES;ANTIPIRETICO ANALGESICO;VER PROSPECTO EN VNM ANMAT
G P PHARM SA;51488;CARBOPLATINO GP PHARM;CARBOPLATINO;150 mgˇ;POLVO LIOFILIZADO PARA INYECTABLE;1 FRASCO AMPOLLA por 150 mg;AGENTE ANTINEOPLASICO;VER PROSPECTO EN VNM ANMAT
G P PHARM SA;51488;CARBOPLATINO GP PHARM;CARBOPLATINO;450 mg;POLVO LIOFILIZADO PARA INYECTABLE;1 FRASCO AMPOLLA por 450mg;AGENTE ANTINEOPLASICO;VER PROSPECTO EN VNM ANMAT
KLONAL SRL;48226;PREDNISONAL;MEPREDNISONA;40 MG;COMPRIMIDO;1000 UNIDADES UH;CORTICOSTEROIDE DE ACCION SISTEMICA;VER PROSPECTO EN VNM ANMAT
KLONAL SRL;48226;PREDNISONAL;MEPREDNISONA;8 MG;COMPRIMIDO;1005 UNIDADES UH;CORTICOSTEROIDE DE ACCION SISTEMICA;VER PROSPECTO EN VNM ANMAT
HLB PHARMA GROUP S.A.;45580;ERITROVISˇ;ERITROMICINA (como ETILSUCCINATO);4 G / 100 ML;SUSPENSI‡N ORAL;1 FRASCO POR X 60 ML;ANTIMICROBIANO;VER PROSPECTO EN VNM ANMAT
HLB PHARMA GROUP S.A.;45580;ERITROVISˇ;ERITROMICINA (como ETILSUCCINATO);8 G / 100 ML;SUSPENSI‡N ORAL;1 FRASCO POR X 60 ML;ANTIMICROBIANO;VER PROSPECTO EN VNM ANMAT
HLB PHARMA GROUP S.A.;45580;ERITROVISˇ;ERITROMICINA (como ESTEARATO);250 MG;COMPRIMIDO RECUBIERTO;250 COMPRIMIDOS;ANTIMICROBIANO;VER PROSPECTO EN VNM ANMAT
HLB PHARMA GROUP S.A.;45580;ERITROVISˇ;ERITROMICINA (como ESTEARATO);250 MG;COMPRIMIDO RECUBIERTO;500 COMPRIMIDOS;ANTIMICROBIANO;VER PROSPECTO EN VNM ANMAT
HLB PHARMA GROUP S.A.;45580;ERITROVISˇ;ERITROMICINA (como ESTEARATO);250 MG;COMPRIMIDO RECUBIERTO;1000 COMPRIMIDOS;ANTIMICROBIANO;VER PROSPECTO EN VNM ANMAT
HLB PHARMA GROUP S.A.;45580;ERITROVISˇ;ERITROMICINA (como ESTEARATO);500 MG;COMPRIMIDO RECUBIERTO;16 COMPRIMIDOS;ANTIMICROBIANO;VER PROSPECTO EN VNM ANMAT
HLB PHARMA GROUP S.A.;45580;ERITROVISˇ;ERITROMICINA (como ESTEARATO);500 MG;COMPRIMIDO RECUBIERTO;250 COMPRIMIDOS;ANTIMICROBIANO;VER PROSPECTO EN VNM ANMAT
HLB PHARMA GROUP S.A.;45580;ERITROVISˇ;ERITROMICINA (como ESTEARATO);500 MG;COMPRIMIDO RECUBIERTO;500 COMPRIMIDOS;ANTIMICROBIANO;VER PROSPECTO EN VNM ANMAT
HLB PHARMA GROUP S.A.;45580;ERITROVISˇ;ERITROMICINA (como ESTEARATO);500 MG;COMPRIMIDO RECUBIERTO;1000 COMPRIMIDOS;ANTIMICROBIANO;VER PROSPECTO EN VNM ANMAT
PHARMALEP S.A.;59154;TIAL;TENOFOVIR DISOPROXIL FUMARATO;300 MG;COMPRIMIDO;X 30 UNIDADES;ANTIRRETROVIRAL;VER PROSPECTO EN VNM ANMAT
KLONAL SRL;46063;NORFLOXACINA KLONAL;NORFLOXACINA;400 MG;COMPRIMIDO RECUBIERTO;56 UNIDADES;ANTIMICROBIANO;VER PROSPECTO EN VNM ANMAT
KLONAL SRL;46063;NORFLOXACINA KLONAL;NORFLOXACINA;400 MG;COMPRIMIDO RECUBIERTO;1000 UNIDADES UH;ANTIMICROBIANO;VER PROSPECTO EN VNM ANMAT
DR LAZAR Y CIA S A QUIMICA E INDUSTRIAL;55573;SIMULTAN A;VALSARTAN - AMLODIPINA (COMO A. BESILATO);80 MG - 5 MG;COMPRIMIDO;30 UNIDADES;TRATAMIENTO DE LA HIPERTENSION ARTERIAL;VER PROSPECTO EN VNM ANMAT
INSTITUTO BIOLOGICO ARGENTINO S A I C;58923;HEALIVE;ANTIGENO DEL VIRUS DE LA HEPATITIS A INACTIVADO;500 U/ ML;SOLUCI‡N INYECTABLE;1 FRASCO AMPOLLA POR 1 ML;VACUNA PARA LA PREVENCION DE LA HEPATITIS A;VER PROSPECTO EN VNM ANMAT
FORTBENTON CO. LABORATORIES S.A.;48129;NEOBITIOL COMPUESTO ROLL ON;SULFATO DE NEOMICINA + CLORHIDROXIDO DE ALUMINIO;0.35g/100ml + 20g/100ml;SOLUCION;1 FRASCO por 60ml -  ROLL ON;ANTIBROMHIDROTICO ANTIBIOTICO DE USO TOPICO;VER PROSPECTO EN VNM ANMAT
FORTBENTON CO. LABORATORIES S.A.;48129;NEOBITIOL COMPUESTO;SULFATO DE NEOMICINA + CLORHIDROXIDO DE ALUMINIO;0.35g/100ml + 20g/100ml;SPRAY SOLUCION;1 FRASCO por 60ml;ANTIBROMHIDROTICO ANTIBIOTICO DE USO TOPICO;VER PROSPECTO EN VNM ANMAT
FORTBENTON CO. LABORATORIES S.A.;48129;NEOBITIOL COMPUESTO;SULFATO DE NEOMICINA + CLORHIDROXIDO DE ALUMINIO;0.35g/100ml + 20g/100ml;SPRAY SOLUCION;1 FRASCO por 120ml;ANTIBROMHIDROTICO ANTIBIOTICO DE USO TOPICO;VER PROSPECTO EN VNM ANMAT
