JUNIO 2021;;;;;;;;
LABORATORIO TITULAR;N° CERTIFICADO;NOMBRE COMERCIAL;NOMBRE GENERICO;CONCENTRACION;FORMA FARMACEUTICA;PRESENTA  CION;ACCION TERAPEUTICA/ INDICACIONES ;OBSERVACIONES
LABORATORIO ELEA PHOENIX S.A.;53100;FENTANILO DOSA;FENTANILO CITRATO; 500 MCG / 10 ML ;SOLUCIÓN INYECTABLE;10 AMPOLLAS X 10 ML;ANESTESICO OPIOIDE;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIO ELEA PHOENIX S.A.;53100;FENTANILO DOSA;FENTANILO CITRATO; 500 MCG / 10 ML ;SOLUCIÓN INYECTABLE;100 AMPOLLAS X 10 ML;ANESTESICO OPIOIDE;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIO ELEA PHOENIX S.A.;53100;FENTANILO DOSA;FENTANILO CITRATO; 100 MCG / 2 ML ;SOLUCIÓN INYECTABLE; 1 AMPOLLAS X 10 ML;ANESTESICO OPIOIDE;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIO ELEA PHOENIX S.A.;53100;FENTANILO DOSA;FENTANILO CITRATO; 100 MCG / 2 ML ;SOLUCIÓN INYECTABLE;5 AMPOLLAS X 10 ML;ANESTESICO OPIOIDE;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIO ELEA PHOENIX S.A.;53100;FENTANILO DOSA;FENTANILO CITRATO; 100 MCG / 2 ML ;SOLUCIÓN INYECTABLE;10 AMPOLLAS X 10 ML;ANESTESICO OPIOIDE;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIO ELEA PHOENIX S.A.;53100;FENTANILO DOSA;FENTANILO CITRATO; 100 MCG / 2 ML ;SOLUCIÓN INYECTABLE;100 AMPOLLAS X 10 ML;ANESTESICO OPIOIDE;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIO ELEA PHOENIX S.A.;53100;FENTANILO DOSA;FENTANILO CITRATO;50 MCG / 1 ML ;SOLUCIÓN INYECTABLE; 1 AMPOLLAS X 10 ML;ANESTESICO OPIOIDE;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIO ELEA PHOENIX S.A.;53100;FENTANILO DOSA;FENTANILO CITRATO;50 MCG / 1 ML ;SOLUCIÓN INYECTABLE;5 AMPOLLAS X 10 ML;ANESTESICO OPIOIDE;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIO ELEA PHOENIX S.A.;53100;FENTANILO DOSA;FENTANILO CITRATO;50 MCG / 1 ML ;SOLUCIÓN INYECTABLE;10 AMPOLLAS X 10 ML;ANESTESICO OPIOIDE;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIO ELEA PHOENIX S.A.;53100;FENTANILO DOSA;FENTANILO CITRATO;50 MCG / 1 ML ;SOLUCIÓN INYECTABLE;100 AMPOLLAS X 10 ML;ANESTESICO OPIOIDE;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIO ELEA PHOENIX S.A.;54852;EQUILEA;LEVETIRACETAM;500 MG;COMPRIMIDOS RECUBIERTOS;30 UNIDADES;ANTICONVULSIVANTE;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIO ELEA PHOENIX S.A.;54852;EQUILEA;LEVETIRACETAM;500 MG;COMPRIMIDOS RECUBIERTOS;60 UNIDADES;ANTICONVULSIVANTE;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIOS POEN S.A.U.;49102;KETIF;KETOTIFENO (COMO FUMARATO);0,025%/ML;SOLUCION OFTALMICA;FRASCO X 5 ML;ANTIALERGICO OCULAR;VER PROSPECTO EN VADEMECUM ANMAT
LAFEDAR S.A;58135;SURPREX;SUTINIB (COMO SUTINIB MALATO);12,5 MG;CAPSULA DURA;28 CAPSULAS; ANTINEOPLASICO;VER PROSPECTO EN VADEMECUM ANMAT
GLENMARK GENERICS S.A.;56438;PEMETREXED;PEMETREXED (COMO PEMTREXED DISODICO HEPTAHIDRATADO);100 MG;FRASCO AMPOLLA;1 FRASCO AMPOLLA;ANTINEOPLASICO;VER PROSPECTO EN VADEMECUM ANMAT
GLENMARK GENERICS S.A.;56438;PEMETREXED;PEMETREXED (COMO PEMTREXED DISODICO HEPTAHIDRATADO);500 MG;FRASCO AMPOLLA;1 FRASCO AMPOLLA;ANTINEOPLASICO;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIOS BETA S.A.;57026 ;LEPTAM;LEVETIRACETAM;500 MG;COMPRIMIDOS RECUBIERTOS;30 COMPRIMIDOS RECUBIERTOS;ANTIEPILEPTICO;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIOS BETA S.A.;57026 ;LEPTAM;LEVETIRACETAM;500 MG;COMPRIMIDOS RECUBIERTOS;60 COMPRIMIDOS RECUBIERTOS;ANTIEPILEPTICO;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIOS BETA S.A.;57026 ;LEPTAM;LEVETIRACETAM;1000 MG;COMPRIMIDOS RECUBIERTOS;30 COMPRIMIDOS RECUBIERTOS;ANTIEPILEPTICO;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIO ECZANE PHARMA S A;53588;TAMOXIFENO ECZANE;TAMOXIFENO;20 MG;COMPRIMIDOS RECUBIERTOS;30 COMPRIMIDOS RECUBIERTOS;ANTINEOPLASICO;VER PROSPECTO EN VADEMECUM ANMAT
ROEMMERS S.A.I.C.F.;35869;OPTAMOX DUO;AMOXICILINA (COMO TRIHIDRATO) - ÁCIDO CLAVULANICO (COMO SAL POTASICA);875 MG – 125 MG;COMPRIMIDOS RECUBIERTOS;8 COMPRIMIDOS RECUBIERTOS;ANTIMICROBIANO;VER PROSPECTO EN VADEMECUM ANMAT
KLONAL S.R.L.;48646;KLONALMOX;AMOXICILINA (COMO TRIHIDRATO) - ÁCIDO CLAVULANICO (COMO SAL POTASICA);875 MG – 125 MG;COMPRIMIDOS RECUBIERTOS;14 COMPRIMIDOS RECUBIERTOS;ANTIMICROBIANO;VER PROSPECTO EN VADEMECUM ANMAT
KLONAL S.R.L.;48646;KLONALMOX;AMOXICILINA (COMO TRIHIDRATO) - ÁCIDO CLAVULANICO (COMO SAL POTASICA);875 MG – 125 MG;COMPRIMIDOS RECUBIERTOS;224 COMPRIMIDOS RECUBIERTOS;ANTIMICROBIANO;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIOS ASPEN S.A;58980;LIBINIS;TERIFLUNOMIDA;14 MG;COMPRIMIDOS RECUBIERTOS;28 COMPRIMIDOS;INDICADO PARA EL TRATAMIENTO DE PACIENTES CON ESCLEROSIS MULTIPLE (EM) REMITENTE RECURRENTE;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIO VARIFARMA S.A.;57929;SIGNIFOR LAR ;PASIREOTIDA;40 MG;POLVO PARA SUSPENSION INYECTABLE;1 FRASCO AMPOLLA + JERINGA PRELLENADA CON DILUYENTE; TRATAMIENTOS DE PACIENTES CON ACROMEGALIA QUE HAN TENIDO UNA RESPUESTA INADECUADA A LA CIRUGÍA Y/O PARA AQUELLOS PACIENTES QUE LA MISMA NO ES UNA OPCIÓN;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIO VARIFARMA S.A.;57929;SIGNIFOR LAR ;PASIREOTIDA;60 MG;POLVO PARA SUSPENSION INYECTABLE;2 FRASCO AMPOLLA + JERINGA PRELLENADA CON DILUYENTE;IDEM ANTERIOR;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIO VARIFARMA S.A.;59336;DRICALEU;CLADRIBINA;10 MG;INYECTABLE PARA PERFUSION;1 FRASCO AMPOLLA;ANTINEOPLASICO;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIO VARIFARMA S.A.;59336;DRICALEU;CLADRIBINA;10 MG;INYECTABLE PARA PERFUSION;7 FRASCO AMPOLLA;ANTINEOPLASICO;VER PROSPECTO EN VADEMECUM ANMAT
BIOPROFARMA BAGÓ S.A.;59308;IBRELEU;IBRUTINIB;140 MG;CAPSULA DURA;120 CAPSULAS DURAS;ANTINEOPLASICO;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIOS TAURO SOCIEDAD ANONIMA;59205;LORATADINA TAURO;LORATADINA;10 MG;COMPRIMIDOS;10 COMPRIMIDOS;ANTIALERGICO;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIOS TAURO SOCIEDAD ANONIMA;59205;LORATADINA TAURO;LORATADINA;10 MG;COMPRIMIDOS;1000 COMPRIMIDOS;ANTIALERGICO;VER PROSPECTO EN VADEMECUM ANMAT
IVAX ARGENTINA S.A.;58820;JOVIUS;VILDAGLIPTIN;50 MG;COMPRIMIDOS;30 COMPRIMIDOS;ANTIDIABETICO ORAL;VER PROSPECTO EN VADEMECUM ANMAT
DR LAZAR Y CIA S A QUIMICA E INDUSTRIAL;59400 ;LAZARTIDINA;FAMOTIDINA;20 MG;COMPRIMIDOS RECUBIERTOS;30 COMPRIMIDOS RECUBIERTOS;ANTIULCEROSO, ANTAGONISTA DE LOS RECEPTORES DE HISTAMINA H2, INHIBIDORES DE LA SECRECIÓN GÁSTRICA;VER PROSPECTO EN VADEMECUM ANMAT
DR LAZAR Y CIA S A QUIMICA E INDUSTRIAL;59400 ;LAZARTIDINA;FAMOTIDINA;20 MG;COMPRIMIDOS RECUBIERTOS;60 COMPRIMIDOS RECUBIERTOS;ANTIULCEROSO, ANTAGONISTA DE LOS RECEPTORES DE HISTAMINA H2, INHIBIDORES DE LA SECRECIÓN GÁSTRICA;VER PROSPECTO EN VADEMECUM ANMAT
DR LAZAR Y CIA S A QUIMICA E INDUSTRIAL;59400 ;LAZARTIDINA;FAMOTIDINA;40 MG;COMPRIMIDOS RECUBIERTOS;30 COMPRIMIDOS RECUBIERTOS;ANTIULCEROSO, ANTAGONISTA DE LOS RECEPTORES DE HISTAMINA H2, INHIBIDORES DE LA SECRECIÓN GÁSTRICA;VER PROSPECTO EN VADEMECUM ANMAT
DR LAZAR Y CIA S A QUIMICA E INDUSTRIAL;59400 ;LAZARTIDINA;FAMOTIDINA;40 MG;COMPRIMIDOS RECUBIERTOS;60 COMPRIMIDOS RECUBIERTOS;ANTIULCEROSO, ANTAGONISTA DE LOS RECEPTORES DE HISTAMINA H2, INHIBIDORES DE LA SECRECIÓN GÁSTRICA;VER PROSPECTO EN VADEMECUM ANMAT
JANSSEN CILAG FARMACEUTICA SOCIEDAD ANONIMA;15902;DRAMAMINE;DIMENHIDRINATO;50 MG;COMPRIMIDOS;12 COMPRIMIDOS;ANTIEMETICO ANTINAUSEOSO ANTIVERTIGINOSO ANTICINETOSICO;VER PROSPECTO EN VADEMECUM ANMAT
JANSSEN CILAG FARMACEUTICA SOCIEDAD ANONIMA;15902;DRAMAMINE;DIMENHIDRINATO;50 MG;COMPRIMIDOS;24 COMPRIMIDOS;ANTIEMETICO ANTINAUSEOSO ANTIVERTIGINOSO ANTICINETOSICO;VER PROSPECTO EN VADEMECUM ANMAT
B. BRAUN MEDICAL S.A.;59108;ROCURONIO B. BRAUN;ROCURONIO BROMURO;10 MG/ML;SOLUCIÓN INYECTABLE;20 AMPOLLAS X 5 ML;RELAJANTE MUSCULAR DE ACCION PERIFERICA;VER PROSPECTO EN VADEMECUM ANMAT
KLONAL S.R.L.;48646;KLONALMOX DUO;AMOXICILINA (COMO TRIHIDRATO) - ÁCIDO CLAVULANICO (COMO SAL POTASICA);400 MG -57 MG;POLVO PARA SUSPENSIÓN ORAL;1 FRASCO;ANTIMICROBIANO;VER PROSPECTO EN VADEMECUM ANMAT
KLONAL S.R.L.;48646;KLONALMOX DUO;AMOXICILINA (COMO TRIHIDRATO) - ÁCIDO CLAVULANICO (COMO SAL POTASICA);400 MG -57 MG;POLVO PARA SUSPENSIÓN ORAL;96 FRASCOS;ANTIMICROBIANO;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIOS JAYOR SRL;59127;SOLUCION METRONIDAZOL JAYOR;METRONIDAZOL;500 MG;SOLUCION PARENTERAL DE GRAN VOLUMEN;60 BOLSAS X 100 ML;TRICOMONICIDA, ANTIGIARDÁSICO Y AMEBICIDA DE ACCIÓN SISTÉMICA E INTESTINAL. ANTIBACTERIANO ESPECIFICO CONTRA GÉRMENES ANAEROBIOS.;VER PROSPECTO EN VADEMECUM ANMAT
ASPEN ARGENTINA S.A.;46250;ULTIVA;REMIFENTANILO;5 MG;POLVO LIOFILIZADO PARA INYECTABLE;5 FRASCOS AMPOLLA X 10 ML;ANESTESICO OPIOIDE;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIO PABLO CASSARA S.R.L.;36419;GERMILISIN ESPUMA;GLUCONATO DE CLORHEXIDINA;4 G/100 ML;SOLUCION TOPICA;ENVASE X 130 ML + BOMBA ESPUMADORA;ANTISEPTICO BACTERICIDA;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIOS CASASCO S A I C;46975;IMECOT;METFORMINA CLORHIDRATO ;500 MG;COMPRIMIDOS RECUBIERTOS;30 COMPRIMIDOS RECUBIERTOS;AGENTE HIPOGLUCEMIANTE ORAL;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIOS CASASCO S A I C;46975;IMECOT;METFORMINA CLORHIDRATO ;500 MG;COMPRIMIDOS RECUBIERTOS;60 COMPRIMIDOS RECUBIERTOS;AGENTE HIPOGLUCEMIANTE ORAL;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIOS CASASCO S A I C;46975;IMECOT AP;METFORMINA CLORHIDRATO ;850 MG;COMPRIMIDOS RECUBIERTOS DE LIBERACION PROLONGADA;30 COMPRIMIDOS RECUBIERTOS;AGENTE HIPOGLUCEMIANTE ORAL;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIOS CASASCO S A I C;46975;IMECOT AP;METFORMINA CLORHIDRATO ;850 MG;COMPRIMIDOS RECUBIERTOS DE LIBERACION PROLONGADA;60 COMPRIMIDOS RECUBIERTOS;AGENTE HIPOGLUCEMIANTE ORAL;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIOS CASASCO S A I C;46975;IMECOT AP FORTE;METFORMINA CLORHIDRATO ;1000 MG;COMPRIMIDOS RECUBIERTOS DE LIBERACION PROLONGADA;30 COMPRIMIDOS RECUBIERTOS;AGENTE HIPOGLUCEMIANTE ORAL;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIOS CASASCO S A I C;46975;IMECOT AP FORTE;METFORMINA CLORHIDRATO ;1000 MG;COMPRIMIDOS RECUBIERTOS DE LIBERACION PROLONGADA;60 COMPRIMIDOS RECUBIERTOS;AGENTE HIPOGLUCEMIANTE ORAL;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIO ELEA PHOENIX S.A.; 59151;LINUS DUO;TAMSULOSINA CLORHIDRATO - DUTASTERIDA; 0,4 MG - 0,5 MG;CAPSULA DURA;30 CAPSULAS DURAS;TRATAMIENTO DE LOS SINTOMAS DE MODERADOS A GRAVES DE LA HIPERPLASIA PROSTATICA BENIGNA (HPB). REDUCCION DEL RIESGO DE RETENCION AGUDA DE ORINA Y DE CIRUGIA EN PACIENTES CON SINTOMAS DE HPB DE MODERADOS A GRAVES.;VER PROSPECTO EN VADEMECUM ANMAT
PANALAB S.A. ARGENTINA;56621;PROAVENAL C;CLOBETASOL PROPIONATO;0,0005 G;CREMA DERMICA;ENV X 30 G;CORTICOIDE SINTETICO CON ACTIVDAD ANTIINFLAMATORIA, ANTIPRURIGINOSA Y VASOCONSTRICTORA LOCAL ;VER PROSPECTO EN VADEMECUM ANMAT
PANALAB S.A. ARGENTINA;56621;PROAVENAL C;CLOBETASOL PROPIONATO;0,0005 G;CREMA DERMICA;ENV X 60 G;CORTICOIDE SINTETICO CON ACTIVDAD ANTIINFLAMATORIA, ANTIPRURIGINOSA Y VASOCONSTRICTORA LOCAL ;VER PROSPECTO EN VADEMECUM ANMAT
PANALAB S.A. ARGENTINA;59136;URGISTAT;MIRABEGRON  ;50 MG;COMPRIMIDOS RECUBIERTOS DE LIBERACION PROLONGADA;30 COMPRIMIDOS RECUBIERTOS;TRATAMIENTO DE LOS SINTOMAS DE VEJIGA HIPERACTIVA EN ADULTOS;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIOS IMA SAIC;50440;NAUSEDRON®;ONDANSETRON (COMO CLORHIDRATO DIHIDRATO);8 MG;SOLUCIÓN INYECTABLE;1 AMPOLLA;ANTIEMETICO;VER PROSPECTO EN VADEMECUM ANMAT
IVAX ARGENTINA S.A.;59218;KEFIDIM;VORICONAZOL;200 MG;SOLUCIÓN INYECTABLE;10 COMPRIMIDOS RECUBIERTOS;ANTIMICOTICO DE ACCION SISTEMICA;VER PROSPECTO EN VADEMECUM ANMAT
GOBBI NOVAG S.A.;55504;ROCUNOVAG ;BROMURO DE ROCURONIO;10 MG/ML;SOLUCIÓN INYECTABLE;50 AMPOLLAS;RELAJANTE MUSCULAR DE ACCION PERIFERICA;VER PROSPECTO EN VADEMECUM ANMAT
INSTITUTO BIOLOGICO CONTEMPORANEO S.A.;59055;LIDOCAINA 1% PHARMAVIAL;LIDOCAINA CLORHIDRATO;50 MG/5 ML;SOLUCIÓN INYECTABLE;100 AMPOLLAS;ANESTESICO LOCAL;VER PROSPECTO EN VADEMECUM ANMAT
EUROFARMA ARGENTINA S.A.;57837;DULOXIN;DULOXETINA;30 MG;SOLUCIÓN INYECTABLE;30 CAPSULAS;ANTIDEPRESIVO;VER PROSPECTO EN VADEMECUM ANMAT
EUROFARMA ARGENTINA S.A.;57837;DULOXIN;DULOXETINA;60 MG;SOLUCIÓN INYECTABLE;30 CAPSULAS;ANTIDEPRESIVO;VER PROSPECTO EN VADEMECUM ANMAT
EUROFARMA ARGENTINA S.A.;59338;SUGANON ;EVOGLIPTINA;5 MG;SOLUCIÓN INYECTABLE;30 COMPRIMIDOS RECUBIERTOS;HIPOGLUCEMIANTE;SINTESIS TECNICA PARA PROFESIONALES
KLONAL S.R.L.;57565;ROVESTOR;ROSUVASTATINA;10 MG;SOLUCIÓN INYECTABLE;30 COMPRIMIDOS RECUBIERTOS;HIPOLIPEMIANTE;VER PROSPECTO EN VADEMECUM ANMAT
KLONAL S.R.L.;57565;ROVESTOR;ROSUVASTATINA;10 MG;SOLUCIÓN INYECTABLE;1000 COMPRIMIDOS RECUBIERTOS;HIPOLIPEMIANTE;VER PROSPECTO EN VADEMECUM ANMAT
KLONAL S.R.L.;57565;ROVESTOR;ROSUVASTATINA;20 MG;SOLUCIÓN INYECTABLE;30 COMPRIMIDOS RECUBIERTOS;HIPOLIPEMIANTE;VER PROSPECTO EN VADEMECUM ANMAT
KLONAL S.R.L.;57565;ROVESTOR;ROSUVASTATINA;20 MG;SOLUCIÓN INYECTABLE;1000 COMPRIMIDOS RECUBIERTOS;HIPOLIPEMIANTE;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIOS CASASCO S A I C;35279;BLOKIUM GESIC FORTE;PARACETAMOL -DICLOFENACO POTASICO;500 MG - 50 MG;SOLUCIÓN INYECTABLE;15 COMPRIMIDOS RECUBIERTOS;ANALGESICO ANTIINFLAMATORIO;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIOS CASASCO S A I C;35279;BLOKIUM GESIC FORTE;PARACETAMOL -DICLOFENACO POTASICO;500 MG - 50 MG;SOLUCIÓN INYECTABLE;30 COMPRIMIDOS RECUBIERTOS;ANALGESICO ANTIINFLAMATORIO;VER PROSPECTO EN VADEMECUM ANMAT
NOVO NORDISK PHARMA ARGENTINA S A;59099 ;FIASP;INSULINA ASPARTICA;100 U/ML;SOLUCIÓN INYECTABLE;5 CARTUCHOS X 3 ML;TRATAMIENTO DE LA DIABETES MELLITUS EN ADULTOS;VER PROSPECTO EN VADEMECUM ANMAT
NOVO NORDISK PHARMA ARGENTINA S A;59099 ;FIASP;INSULINA ASPARTICA;100 U/ML;SOLUCIÓN INYECTABLE;1 CARTUCHO X 3 ML;TRATAMIENTO DE LA DIABETES MELLITUS EN ADULTOS;VER PROSPECTO EN VADEMECUM ANMAT
SAVANT PHARM S.A.;59246;GRIPABEN ALLER;CETIRIZINA DICLORHIDRATO;10 MG;CAPSULAS BLANDAS;10 CAPSULAS BLANDAS;ANTIALERGICO;VER PROSPECTO EN VADEMECUM ANMAT
BIOTENK S.A;42816 ;ESPASMO BIOTENK;N-BUTILBROMURO DE HIOSCINA - DIPIRONA SODICA;0,667 G -33,34 G / 100 ML;GOTAS;1 FRASCO;ANTIESPASMODICO ANALGESICO;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIO INTERNACIONAL ARGENTINO S.A.;50752;NEOSTIGMINA NORTHIA;NEOSTIGMINA METILSULFATO;0,5 MG/ 1 ML;SOLUCIÓN INYECTABLE;25  AMPOLLAS por 0,5 MG/ 1 ML;AGENTE ANTICOLINESTERASICO;VER PROSPECTO EN VADEMECUM ANMAT
TUTEUR S A C I F I A;59296;MAZIMIT;MACITENTAN;10 MG;COMPRIMIDOS RECUBIERTOS;30 UNIDADES;INDICADO PARA EL TRATAMIENTO A LARGO PLAZO DE LA HIPERTENSIÓN ARTERIAL PULMONAR (HAP) EN PACIENTES ADULTOS CLASIFICADOS COMO CLASE FUNCIONAL (CF) II A III DE LA ORGANIZACIÓN MUNDIAL DE LA SALUD (OMS).;VER PROSPECTO EN VADEMECUM ANMAT
SANOFI-AVENTIS ARGENTINA SOCIEDAD ANONIMA;46039;ALLEGRA ;FEXOFENADINA CLORHIDRATO;60 MG;COMPRIMIDOS RECUBIERTOS;20 COMPRIMIDOS RECUBIERTOS;ANTIHISTAMÍNICO NO SEDATIVO. ANTAGONISTA DE LOS RECEPTORES H1 DE LA HISTAMINA.;VER PROSPECTO EN VADEMECUM ANMAT
BALIARDA S.A.;57457;NIDIB B;HIDROCLOROTIAZIDA - NEBIVOLOL;12,5 MG - 5 MG;COMPRIMIDOS RECUBIERTOS;30 COMPRIMIDOS RECUBIERTOS;ANTIHIPERTENSIVO - DIURETICO;VER PROSPECTO EN VADEMECUM ANMAT
MONTE VERDE S.A.;57259;XTANDI;ENZALUTAMIDA;80 MG;COMPRIMIDOS RECUBIERTOS;56 COMPRIMIDOS RECUBIERTOS;TRATAMIENTO ANITNEOPLASICO HORMONAL;VER PROSPECTO EN VADEMECUM ANMAT
ROSSMORE PHARMA S.A.;56211;URSOTOP 500;ACIDO URSODESOXICÓLICO;500 MG;COMPRIMIDOS;30 COMPRIMIDOS;LITOLITICO - ANTILITOGENICO - COLERETICO;VER PROSPECTO EN VADEMECUM ANMAT
GENOMMA LABORATORIES ARGENTINA S.A;58590;GOICOECHEA FLEBO;TROXERUTINA;2 G;CREMA DERMICA;1 POMO CONTENIENDO 200 ML;ANTIVARICOSO TOPICO;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIO LKM S.A.;58887;TIXIREN;AXITINIB;5 MG;COMPRIMIDOS RECUBIERTOS;56 COMPRIMIDOS RECUBIERTOS;ANTINEOPLASICO;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIO LKM S.A.;58887;TIXIREN;AXITINIB;1 MG;COMPRIMIDOS RECUBIERTOS;56 COMPRIMIDOS RECUBIERTOS;ANTINEOPLASICO;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIO LKM S.A.;58499;ILOPROST DOSA;ILOPROST;0,01 MG/ML;SOLUCION PARA NEBULIZACION;42 AMPOLLAS;TRATAMIENTO DE PACIENTES ADULTOS CON HIPERTENSIÓN PULMONAR PRIMARIA, CLASE FUNCIONAL III DE LA NYHA, PARA MEJORAR LA CAPACIDAD PARA REALIZAR EJERCICIO FÍSICO Y LOS SÍNTOMAS.;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIO LKM S.A.;56111;SALINDOSA;CLORURO DE SODIO;7.0 G / 100 ML;SOLUCION PARA INHALAR;60 AMPOLLAS X 4 ML;INDICADO PARA LA INDUCCIÓN DE LA PRODUCCIÓN DEL ESPUTO CUANDO SE INDICA RECOLECCIÓN DE MUESTRAS;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIO LKM S.A.;56111;SALINDOSA;CLORURO DE SODIO;7.0 G / 100 ML;SOLUCION PARA INHALAR;12 AMPOLLAS X 4 ML;INDICADO PARA LA INDUCCIÓN DE LA PRODUCCIÓN DEL ESPUTO CUANDO SE INDICA RECOLECCIÓN DE MUESTRAS;VER PROSPECTO EN VADEMECUM ANMAT
