MAYO 2022;;;;;;;;;
LABORATORIO TITULAR;N¯ CERTIFICADO;NOMBRE COMERCIAL;NOMBRE GENERICO;CONCENTRACION;FORMA FARMACEUTICA;PRESENTACION;ACCION TERAPEUTICA / INDICACIONES;OBSERVACIONES;
SAVANT PHARM S.A.;54446;JESAN;LOSARTAN POTASICO;50 MG;COMPRIMIDO RECUBIERTO;90 UNIDADES;TRATAMIENTO DE LA HIPERTENSI‡N ARTERIAL. TRATAMIENTO DE LA INSUCIENCIA CARD÷ACA, HABITUALMENTE EN COMBINACI‡N CON DIURêTICOS Y DIGITµLICOS. EN ESTOS PACIENTES LOSARTµN HA DEMOSTRADO UN EFECTO BENECIOSO SOBRE LA SOBREVIDA.;VER PROSPECTO EN VADEMECUM ANMAT;
SAVANT PHARM S.A.;54447;LIPEND;ATORVASTATINA;10 MG;COMPRIMIDO RECUBIERTO;90 COMPRIMIDOS;HIPOCOLESTEROLEMIANTE;VER PROSPECTO EN VADEMECUM ANMAT;
SAVANT PHARM S.A.;54447;LIPEND;ATORVASTATINA;20 MG;COMPRIMIDO RECUBIERTO;90 COMPRIMIDOS;HIPOCOLESTEROLEMIANTE;VER PROSPECTO EN VADEMECUM ANMAT;
KLONAL S R L;59194;KLORTIAZIDA 25;HIDROCLOROTIAZIDA;25 MG;COMPRIMIDO;1005 UNIDADES UH;DIURêTICO TIAZ÷DICO Y ANTIHIPERTENSIVO;VER PROSPECTO EN VADEMECUM ANMAT;
KILAB S.R.L.;58878;MEROPENEM KILAB;MEROPENEM (COMO TRIHIDRATO);500 MG;POLVO PARA INYECTABLES;50 FRASCO AMPOLLA POR 500 MG UH;ANTIMICROBIANO;VER PROSPECTO EN VADEMECUM ANMAT;
T R B PHARMA   S A;59415;KLAXON;TOFACITINIB;5 MG;COMPRIMIDO RECUBIERTO;60 UNIDADES;INHIBIDOR DE LAS JANUS QUINASAS;VER PROSPECTO EN VADEMECUM ANMAT;
LABORATORIOS CASASCO S A I C;59594;UNITOS;CLOFEDIANOL CLORHIDRATO - BROMHEXINA CLORHIDRATO;250 MG - 40 MG / 100 ML;JARABE;FRASCO POR 100 ML;ANTITUSIVO  EXPECTORANTE;VER PROSPECTO EN VADEMECUM ANMAT;
LABORATORIOS CASASCO S A I C;59594;UNITOS PEDIµTRICO;CLOFEDIANOL CLORHIDRATO - BROMHEXINA CLORHIDRATO;140 MG - 20 MG / 100 ML;JARABE;FRASCO POR 100 ML;ANTITUSIVO  EXPECTORANTE;VER PROSPECTO EN VADEMECUM ANMAT;
KLONAL S R L;37769;AMOX G;AMOXICILINA (COMO TRIHIDRATO);500 MG / 5 ML;POLVO PARA SUSPENSI‡N ORAL;1 FRASCO POR 120 ML UH (PLAN REMEDIAR);ANTIMICROBIANO;VER PROSPECTO EN VADEMECUM ANMAT;
MICROSULES ARGENTINA S A DE SERVICIOS COM IND INMB AGROPECUARIA;42986;COPIRON 4%;IBUPROFENO;4G/100ML;SUSPENSI‡N;1 FRASCO por 100 ML;ANTIINFLAMATORIO ANALGêSICO     ANTIPIRêTICO;VER PROSPECTO EN VADEMECUM ANMAT;
LABORATORIO INTERNACIONAL ARGENTINO S.A.;47064;FADAFLUMAZ;FLUMAZENIL;0,50 MG/ 5 ML;INYECTABLE;25 AMPOLLAS por 0,50 MG/ 5 ML;ANTAGONISTA DE LOS RECEPTORES DE BENZODIACEPINAS;VER PROSPECTO EN VADEMECUM ANMAT;
INSTITUTO BIOLOGICO ARGENTINO         S A I C;58002;MELOUT;PIRIDOXINA CLORHIDRATO/ DOXILAMINA SUCCINATO;10 MG /10 MG;COMPRIMIDO RECUBIERTO GASTRORESISTENTE;30 COMPRIMIDOS;TRATAMIENTO SINTOMATICO DE NAUSEAS Y VOMITOS DURANTE EL EMBARAZO EN MUJERES QUE NO RESPONDEN AL TRATAMIENTO TRADICIONAL;VER PROSPECTO EN VADEMECUM ANMAT;
INSTITUTO BIOLOGICO ARGENTINO         S A I C;58002;MELOUT;PIRIDOXINA CLORHIDRATO/ DOXILAMINA SUCCINATO;10 MG /10 MG;COMPRIMIDO RECUBIERTO GASTRORESISTENTE;50 COMPRIMIDOS;IDEM ANTERIOR;VER PROSPECTO EN VADEMECUM ANMAT;
CRAVERI S A I C;55488;CLASICA 75;PREGABALINA;75 MG;CAPSULA;30 UNIDADES;ANTIEPILEPTICO ANTINEURALGICO ANSIOLITICO;VER PROSPECTO EN VADEMECUM ANMAT;
CRAVERI S A I C;55488;CLASICA 150;PREGABALINA;150 MG;CAPSULA;30 UNIDADES;ANTIEPILEPTICO ANTINEURALGICO ANSIOLITICO;VER PROSPECTO EN VADEMECUM ANMAT;
ASOFARMA S.A.I.y.C.;59441;RUCAFAS;RUCAPARIB;300 MG;COMPRIMIDO RECUBIERTO;60 UNIDADES;AGENTE ANTINEOPLASICO;VER PROSPECTO EN VADEMECUM ANMAT;
KLONAL S R L;58586;IBUPROFENO KLONAL NF;IBUPROFENO;2000 MG;SUSPENSION ORAL;1 FRASCO POR 90 ML ( PLAN REMEDIAR);ANTIINFLAMATORIO ANALGêSICO     ANTIPIRêTICO;VER PROSPECTO EN VADEMECUM ANMAT;
EUROFARMA ARGENTINA S.A.;39927;PREDUAL L;LORATADINA;100 MG / 100 ML;JARABE;1 FRASCO por 60 ML + VASO DOSIFICADOR;ANTIALERGICO;VER PROSPECTO EN VADEMECUM ANMAT;
KLONAL S R L;46178;BETASONE G;BETAMETASONA;50 MG / 100 ML;GOTAS;1 FRASCO POR 15 ML (PLAN REMEDIAR);CORTICOSTEROIDE  ANTIINFLAMATORIO  ESTEROIDE  INMUNOSUPRESOR;VER PROSPECTO EN VADEMECUM ANMAT;
KLONAL S R L;43228;NODIPIR;PARACETAMOL;10 Gˇ/ 100 ML;SOLUCI‡N PARA GOTAS;1 FRASCO por 20 ML (PLAN REMEDIAR);ANALGESICO          ANTIFEBRIL ;VER PROSPECTO EN VADEMECUM ANMAT;
CELNOVA ARGENTINA S.A.;58631;LAPANOVAˇ;LAPATINIB DITOSILATO MONOHIDRATO (como LAPATINIB);405 MG;COMPRIMIDO RECUBIERTO;1 FRASCO POR 140 UNIDADES;AGENTE ANTINEOPLASICO;VER PROSPECTO EN VADEMECUM ANMAT;
ASPEN ARGENTINA S.A.;36533;DURACAINE 0,5% HIPERBARICA;CLORHIDRATO DE BUPIVACA÷NA;5 MG / 1 ML;SOLUCI‡N ESTêRIL PARA INYECCI‡N ESPINAL;5 AMPOLLAS x 4 ML;ANESTESIA ESPINALˇ (SUBARACNOIDEA);VER PROSPECTO EN VADEMECUM ANMAT;
TUTEUR                S A C I F I A;59452;PARITERIB;PALBOCICLIB;75 MG;CAPSULA DURA;21 UNIDADES;AGENTE ANTINEOPLASICO;VER PROSPECTO EN VADEMECUM ANMAT;
TUTEUR                S A C I F I A;59452;PARITERIB;PALBOCICLIB;100 MG;CAPSULA DURA;21 UNIDADES;AGENTE ANTINEOPLASICO;VER PROSPECTO EN VADEMECUM ANMAT;
TUTEUR                S A C I F I A;59452;PARITERIB;PALBOCICLIB;125 MG;CAPSULA DURA;21 UNIDADES;AGENTE ANTINEOPLASICO;VER PROSPECTO EN VADEMECUM ANMAT;
