FEBRERO 2023;;;;;;;;;;;;;;
LABORATORIO TITULAR;N¯ CERTIFICADO;NOMBRE COMERCIAL;NOMBRE GENERICO;CONCENTRACION;FORMA FARMACEUTICA;PRESENTACION;ACCION TERAPEUTICA/INDICACIONES;OBSERVACIONES;;;;;;
LABORATORIOS SEQIRUS S.A.;59029;AFLURIA QUAD;VACUNA TETRAVALENTE ANTIGRIPAL INACTIVADA - (VIRUS FRACCIONADO) (CEPAS 2023);15 UG DE HEMAGLUTININA POR DOSIS ˇ(0,5 ML) POR CADA CEPAˇ;SUSPENSI‡N INYECTABLE POR V÷A IM O SUBCUTµNEA PROFUNDA;10 JERINGAS PRELLENADAS POR 0,5 ML CADA UNA;VACUNA TETRAVALENTE ANTIGRIPAL INACTIVADA -CEPAS 2023;VER PROSPECTO EN VMN ANMAT;;;;;;
PFIZER SOCIEDAD DE RESPONSABILIDAD LIMITADA;58996;BRAFTOVI;ENCORAFENIB;50 MG;CAPSULA DURA;28 UNIDADES;AGENTE ANTINEOPLASICO;VER PROSPECTO EN VMN ANMAT;;;;;;
PFIZER SOCIEDAD DE RESPONSABILIDAD LIMITADA;58996;BRAFTOVI;ENCORAFENIB;75 MG;CAPSULA DURA;42 UNIDADES;AGENTE ANTINEOPLASICO;VER PROSPECTO EN VMN ANMAT;;;;;;
PFIZER SOCIEDAD DE RESPONSABILIDAD LIMITADA;58939;MEKTOVI;BINIMETINIB;15 MG;COMPRIMIDO RECUBIERTO;84 UNIDADES;AGENTE ANTINEOPLASICO;VER PROSPECTO EN VMN ANMAT;;;;;;
LABORATORIO AUSTRAL SA;50786;AZITROX;AZITROMICINA (COMO DIHIDRATO);200 MG /5 MG;POLVO PARA RECONSTITUIR;1 FRASCO POR 15 ML;ANTIMICROBIANO;VER PROSPECTO EN VMN ANMAT;;;;;;
GSK BIOPHARMA ARGENTINA S.A.;55099;VOLIBRIS;AMBRISENTAN;10 MG;COMPRIMIDO RECUBIERTO;30 UNIDADES;ANTIHIPERTENSIVO;VER PROSPECTO EN VMN ANMAT;;;;;;
GSK BIOPHARMA ARGENTINA S.A.;48060;SERETIDE;PROPIONATO DE FLUTICASONA + SALMETEROL (COMO HIDROXINAFTOATO);50 MCG + 25 MCG;AEROSOL;120 DOSIS;AGENTES INDICADOS PARA PADECIMIENTOS OBSTRUCTIVOS DE LAS VIAS RESPIRATORIAS;VER PROSPECTO EN VMN ANMAT;;;;;;
GSK BIOPHARMA ARGENTINA S.A.;48060;SERETIDE;PROPIONATO DE FLUTICASONA + SALMETEROL (COMO HIDROXINAFTOATO);125 MCG + 25 MCG;AEROSOL;120 DOSIS;AGENTES INDICADOS PARA PADECIMIENTOS OBSTRUCTIVOS DE LAS VIAS RESPIRATORIAS;VER PROSPECTO EN VMN ANMAT;;;;;;
LABORATORIO AUSTRAL SA;59578;NEBIBLOC 5;NEBIVOLOL;5 MG;COMPRIMIDO;BLISTER POR 30 UNIDADES;ANTIHIPERTENSIVO E INDICADO PARA LA INSUFICIENCIA CARDIACA CRONICA ESTABLE;VER PROSPECTO EN VMN ANMAT;;;;;;
LABORATORIOS CABUCHI SA;26420;OPALINO GOTAS;PICOSULFATO DE SODIOˇ;0,75 G%;SOLUCI‡N;1 FRASCO GOTERO POR 15 ML;TRATAMIENTO A CORTO PLAZO DE LA CONSTIPACI‡N;VER PROSPECTO EN VMN ANMAT;;;;;;
GSK BIOPHARMA ARGENTINA S.A.;57442;TIVICAY;DOLUTEGRAVIR;25 MG;COMPRIMIDO RECUBIERTO;1 FRASCO por 30 UNIDADES;ANTIVIRAL DE USO SISTEMICO;VER PROSPECTO EN VMN ANMAT;;;;;;
BRIXEN LABS S.A.;59365;DUSTALOX;KETOROLACO TROMETAMINA;5 MG / 1 ML;SOLUCI‡N OFTµLMICA;1 FRASCO GOTERO POR 5 ML;AGENTE ANTIINFLAMATORIO;VER PROSPECTO EN VMN ANMAT;;;;;;
LABORATORIO LKM S.A.;58632;PALBOCIL;PALBOCICLIB;75 MG;CAPSULA DURA;1 FRASCO por 21 UNIDADES;AGENTE ANTINEOPLASICO;VER PROSPECTO EN VMN ANMAT;;;;;;
LABORATORIO LKM S.A.;58632;PALBOCIL;PALBOCICLIB;100 MG;CAPSULA DURA;1 FRASCO por 21 UNIDADES;AGENTE ANTINEOPLASICO;VER PROSPECTO EN VMN ANMAT;;;;;;
LABORATORIO LKM S.A.;58632;PALBOCIL;PALBOCICLIB;125 MG;CAPSULA DURA;1 FRASCO por 21 UNIDADES;AGENTE ANTINEOPLASICO;VER PROSPECTO EN VMN ANMAT;;;;;;
MSD ARGENTINA SRL;55205;NOXAFIL;POSACONAZOL;40 MG/1 ML;SUSPENSI‡N ORAL;1 FRASCO POR 105 ML;AGENTE ANTIFUNGICO;VER PROSPECTO EN VMN ANMAT;;;;;;
BRIXEN LABS S.A.;57063;FLUMETOL NF OFTENO;FLUOROMETOLONA ACETATO;1 MG / ML;SUSPENSI‡N ORAL;1 FRASCO GOTERO POR 5 ML;ANTIINFLAMATORIO E INDICADO PARA CONJUNTIVITIS ALERGICA;VER PROSPECTO EN VMN ANMAT;;;;;;
SOUBEIRAN CHOBET S.R.L.;47228;REM CHOBET;MIDAZOLAM  (COMO MIDAZOLAM MALEATO);7,5 MG;COMPRIMIDO RECUBIERTO;BLISTER POR 10 UNIDADES;SEDANTE - HIPNOTICO;VER PROSPECTO EN VMN ANMAT;;;;;;
SOUBEIRAN CHOBET S.R.L.;47228;REM CHOBET;MIDAZOLAM  (COMO MIDAZOLAM MALEATO);10,4 MG;COMPRIMIDO RECUBIERTO;BLISTER POR 30 UNIDADES;SEDANTE - HIPNOTICO;VER PROSPECTO EN VMN ANMAT;;;;;;
LABORATORIOS RICHET SAˇ;59597;DAPTOMICINA RICHET;DAPTOMICINAˇ;500 MG;POLVO LIOFILIZADO PARA INYECTABLE;1 FRASCO AMPOLLAˇ;ANTIMICROBIANO DE USO SISTEMICO;VER PROSPECTO EN VMN ANMAT;;;;;;
LABORATORIOS RICHET SAˇ;59597;DAPTOMICINA RICHET;DAPTOMICINAˇ;500 MG;POLVO LIOFILIZADO PARA INYECTABLE;5 FRASCOS AMPOLLA - UHE;ANTIBACTERIANO DE USO SISTEMICO;VER PROSPECTO EN VMN ANMAT;;;;;;
ROEMMERS S A I C F;59696;IXIPEN 2,5;APIXABANˇ;2,5 MG;COMPRIMIDO RECUBIERTO;BLISTER POR 60 UNIDADES;AGENTE ANTITROMBOTICO, INHIBIDOR DIRECTO DE FACTOR Xa;VER PROSPECTO EN VMN ANMAT;;;;;;
SIEGFRIED S.A.;59695;PIXABAN;APIXABANˇ;2,5 MGˇˇ;COMPRIMIDO RECUBIERTO;60 COMPRIMIDOS RECUBIERTOSˇ;AGENTE ANTITROMBOTICO, INHIBIDOR DIRECTO DE FACTOR Xa;VER PROSPECTO EN VMN ANMAT;;;;;;
LABORATORIO ELEA PHOENIX S.A.;59629;GESNAT;ELTROMBOPAG;25MG;COMPRIMIDO RECUBIERTOˇ;30 COMPRIMIDOS RECUBIERTOS;HEMOSTATICO, AGONISTA DEL RECEPTOR DE TROMBOPOPOYETINA;VER PROSPECTO EN VMN ANMAT;;;;;;
ORGANONˇ AGENTINA S.R.L.;50649;ARCOXIA;ETORICOXIB;60 MG;COMPRIMIDO RECUBIERTO;ENVASES DE 28 COMPRIMIDOS RECUBIERTOSˇ;ANTIINFLAMATORIO NO ESTEROIDEO;VER PROSPECTO EN VMN ANMAT;;;;;;
ORGANONˇ AGENTINA S.R.L.;50649;ARCOXIA;ETORICOXIB;120 MG;COMPRIMIDO RECUBIERTO;ENVASES DE 7 COMPRIMIDOS RECUBIERTOSˇ;ANTIINFLAMATORIO NO ESTEROIDEO;VER PROSPECTO EN VMN ANMAT;;;;;;
GENOMMA LABORATORIES ARGENTINA S.A.;48457;LOMECAN FLUCO VL;FLUCONAZOL;150 MG;CAPSULAS;1 UNIDAD;ANTIMICOTICO;VER PROSPECTO EN VMN ANMAT;;;;;;
LABORATORIOS BERNABO S.A.;59730;LIXATROM;RIVAROXABAN;15 MG;COMPRIMIDO RECUBIERTO;ENVASE POR 30 COMPRIMIDOS RECUBIERTOS;AGENTE ANTITROMBOTICO;VER PROSPECTO EN VMN ANMAT;;;;;;
LABORATORIOS BERNABO S.A.;59730;LIXATROM;RIVAROXABAN;20 MG;COMPRIMIDO RECUBIERTO;ENVASE POR 30 COMPRIMIDOS RECUBIERTOS;AGENTE ANTITROMBOTICO;VER PROSPECTO EN VMN ANMAT;;;;;;
LABORATORIOS BERNABO S.A.;49592;TERBENOL DUO 1000;DIOSMINA - HESPERIDINA;DIOSMINA 900 mg ? HESPERIDINA 100 mg;COMPRIMIDO RECUBIERTO;ENVASE POR 30 COMPRIMIDOS RECUBIERTOS;VENOTONICO - PROTECTOR VASCULAR;VER PROSPECTO EN VMN ANMAT;;;;;;
LABORATORIOS BERNABO S.A.;59718;PERPIEL D3 CORPORAL;ALANTOINA, COLECALCIFEROL, VITAMINA E (COMO ACETATO), VITAMINA A (PALMITATO);250 mg de ALANTOINA, 100000 UI de COLECALCIFEROL, 50 mg de VITAMINA E (COMO ACETATO), 250000 UI de VITAMINA A (PALMITATO);EMULSI‡N DêRMICA;ENVASE POR 400 G;EMOLIENTE Y PROTECTOR;VER PROSPECTO EN VMN ANMAT;;;;;;
LABORATORIOS BERNABO S.A.;59718;PERPIEL D3 FACIAL;ALANTOINA, COLECALCIFEROL, VITAMINA E (COMO ACETATO), VITAMINA A (PALMITATO);250 mg de ALANTOINA, 200000 UI de COLECALCIFEROL, 50 mg de VITAMINA E (COMO ACETATO), 250000 UI de VITAMINA A (PALMITATO);EMULSI‡N DêRMICA;ENVASE POR 80 ML;EMOLIENTE Y PROTECTOR;VER PROSPECTO EN VMN ANMAT;;;;;;
INSTITUTO SEROTERAPICO ARGENTINO SAIC;56322;PARACETAMOL ISA 1G;PARACETAMOL;1000 MG;COMPRIMIDO;24 UNIDADES;ANTITERMICO-ANALGESICO;VER PROSPECTO EN VMN ANMAT;;;;;;
INSTITUTO SEROTERAPICO ARGENTINO SAIC;51854;TREG;OMEPRAZOL;20 MG;CAPSULAS;30 UNIDADES;ACIDEZ FRECUENTE;VER PROSPECTO EN VMN ANMAT;;;;;;
INSTITUTO SEROTERAPICO ARGENTINO SAIC;51854;TREG;OMEPRAZOL;20 MG;CAPSULAS;600 UNIDADES DISPENSER;ACIDEZ FRECUENTE;VER PROSPECTO EN VMN ANMAT;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
