MARZO 2022;;;;;;;;
LABORATORIO TITULAR; CERTIF.;NOMBRE COMERCIAL;NOMBRE GENERICO;cc;FORMA FARMACEUTICA;PRESENTACION;ACCION TERAPEUTICA/ INDICACIONES;OBSERVACIONES
BRISTOL MYERS SQUIBB ARGENTINA SOCIEDAD DE RESPONSABILIDAD LIMITADA;59478;ZEPOSIA;OZANIMOD;0,23 MG;CAPSULAS DURAS;BLISTER por 7 UNIDADES (4 CAPSULAS DURAS DE 0,23 MG Y 3 CAPSULAS DURAS DE 0,46 MG); INDICADO PARA EL TRATAMIENTO DE PACIENTES ADULTOS CON ESCLEROSIS MÈLTIPLE REMITENTE-RECURRENTE (EMRR) ACTIVA;VER PROSPECTO EN VNM ANMAT
BRISTOL MYERS SQUIBB ARGENTINA SOCIEDAD DE RESPONSABILIDAD LIMITADA;59478;ZEPOSIA;OZANIMOD;0,92 MG;CAPSULAS DURAS;BLISTER por 28 UNIDADES; INDICADO PARA EL TRATAMIENTO DE PACIENTES ADULTOS CON ESCLEROSIS MÈLTIPLE REMITENTE-RECURRENTE (EMRR) ACTIVA;VER PROSPECTO EN VNM ANMAT
Soubeiran Chobet S.R.L.;44679;ALENTAL;FLUOXETINA CLORHIDRATO;20 MG;COMPRIMIDOS RECUBIERTOS;30 UNIDADES;ANTIDEPRESIVO;VER PROSPECTO EN VNM ANMAT
Soubeiran Chobet S.R.L.;44679;ALENTAL;FLUOXETINA CLORHIDRATO;20 MG;COMPRIMIDOS RECUBIERTOS;60 UNIDADES;ANTIDEPRESIVO;VER PROSPECTO EN VNM ANMAT
LAFEDAR S.A.;40250;PARACETAMOL LAFEDAR;PARACETAMOL;500 MG;COMPRIMIDOS;1000 UNIDADES (UH);ANALGESICO    ANTIFEBRIL;VER PROSPECTO EN VNM ANMAT
LABORATORIO ECZANE PHARMA     S A;59477;SORAFENIB ECZANE;SORAFENIB;ˇ200 MG;COMPRIMIDOS RECUBIERTOS;112 UNIDADES;AGENTE ANTINEOPLASICO;VER PROSPECTO EN VNM ANMAT
EUROFARMA ARGENTINA S.A.;59223ˇ;TAMIRAM 750;LEVOFLOXACINA;750 MG;COMPRIMIDO RECUBIERTO;5 UNIDADES;ANTIMICROBIANO;VER PROSPECTO EN VNM ANMAT
CRAVERI SAIC;57997;CRAFINE;TRIETANOLAMINA;0,67 G / 100 G;EMULSI‡N;1 POMO POR 46,5 G;REPARADOR TISULAR Y FAVORECEDOR DE LA CICATRIZACION;VER PROSPECTO EN VNM ANMAT
LABORATORIO FECOFAR DE LA FEDERACION ARGENTINA DE COOPERATIVAS FARMACEUTICAS COOP.LTDA.;59137;VALSARFEC D 80/ 12,5;VALSARTAN - HIDROCLOROTIAZIDA;80 MG - 12,5 MG;COMPRIMIDOS RECUBIERTOS;28 UNIDADES;ANTIHIPERTENSIVO;VER PROSPECTO EN VNM ANMAT
LABORATORIO FECOFAR DE LA FEDERACION ARGENTINA DE COOPERATIVAS FARMACEUTICAS COOP.LTDA.;59137;VALSARFEC D 160/ 12,5;VALSARTAN - HIDROCLOROTIAZIDA;160 MG - 12,5 MG;COMPRIMIDOS RECUBIERTOS;28 UNIDADES;ANTIHIPERTENSIVO;VER PROSPECTO EN VNM ANMAT
LABORATORIO FECOFAR DE LA FEDERACION ARGENTINA DE COOPERATIVAS FARMACEUTICAS COOP.LTDA.;59137;VALSARFEC D 160/ 25;VALSARTAN - HIDROCLOROTIAZIDA;160 MG - 25 MG;COMPRIMIDOS RECUBIERTOS;28 UNIDADES;ANTIHIPERTENSIVO;VER PROSPECTO EN VNM ANMAT
ASPEN ARGENTINA S.A.;50432;ARIXTRA;FONDAPARINUX SODICO;2.5 MG / 0.5 ML;SOLUCION INYECTABLE;10 JERINGAS PRELLENADAS por 0.5 ML;AGENTE ANTITROMBOTICO;VER PROSPECTO EN VNM ANMAT
ASPEN ARGENTINA S.A.;50432;ARIXTRA;FONDAPARINUX SODICO;7.5 MG / 0.6 ML;SOLUCION INYECTABLE;10 JERINGAS PRELLENADAS por 0.6 ML;AGENTE ANTITROMBOTICO;VER PROSPECTO EN VNM ANMAT
SOUBERIAN CHOBET;46133;REVEZ;NALTREXONA CLORHIDRATO;50 MG;COMPRIMIDO;10 UNIDADES;ANTAGONISTA DE LOS RECEPTORES OPIACEOS;VER PROSPECTO EN VNM ANMAT
SOUBERIAN CHOBET;46133;REVEZ;NALTREXONA CLORHIDRATO;50 MG;COMPRIMIDO;25 UNIDADES;ANTAGONISTA DE LOS RECEPTORES OPIACEOS;VER PROSPECTO EN VNM ANMAT
MERCK S.A.;54844;PERGOVERIS;LUTROPINA ALFA - FOLITROPINA ALFA;150 UI/ 300 UI;SOLUCION INYECTABLE;1 CARTUCHO por 0.48 ML + 5 AGUJAS;INDICADO EN MUJERES CON DEFICIT SEVERO DE LH Y FSH PARA LA ESTIMULACION DEL DESARROLLO FOLICULAR;VER PROSPECTO EN VNM ANMAT
IVAX ARGENTINA SOCIEDAD ANONIMA;45971;CULTIVO DE BCG AJV;BACILO DE CALMETTE GUERIN;30 MG;POLVO LIOFILIZADO PARA INYECTABLE;4 FRASCO AMPOLLA POR 30 MG;SE UTILIZA PARA EL TRATAMIENTO DE VARIOS TIPOS DE CµNCER EN LA VEJIGA URINARIA. ES EFICAZ SI EL CµNCER SE LIMITA A LAS CêLULAS QUE RECUBREN EL INTERIOR DE LA VEJIGA (UROTELIO) Y NO HA INVADIDO LOS TEJIDOS INTERNOS DE LA VEJIGA.;VER PROSPECTO EN VNM ANMAT
GOBBI NOVAG S.A.;59255;NAGLAZYME;GALSULFASAˇ;5 MG / 5 ML;CONCENTRADO PARA SOLUCION PARA INFUSION;1 FRASCO AMPOLLA POR 5 ML;SE UTILIZA PARA TRATAR A PACIENTES CON MPS VI (MUCOPOLISACARIDOS VI);VER PROSPECTO EN VNM ANMAT
Soubeiran Chobet S.R.L.;51588;LEPTIC CHOBET;CLONAZEPAM;0.5 MG;COMPRIMIDOS;60 UNIDADES;ANSIOLITICO ANTICONVULSIVANTE;VER PROSPECTO EN VNM ANMAT
Soubeiran Chobet S.R.L.;51588;LEPTIC CHOBET;CLONAZEPAM;2 MG;COMPRIMIDOS;60 UNIDADES;ANSIOLITICO ANTICONVULSIVANTE;VER PROSPECTO EN VNM ANMAT
LABORATORIOS SEQIRUS S.A.;59029;AFLURIA QUAD;;0,5 ML;SUSPENSION INYECTABLE POR VIA INTRAMUSCULAR O SUBCUTANEA PROFUNDA;1 JERINGA PRELLENADA x 0.5 MLˇ;VACUNA TETRAVALENTE ANTIGRIPAL INACTIVADA (VIRUS FRACCIONADO);VER PROSPECTO EN VNM ANMAT
DAXLEY ARGENTINA S.A.;42066;IMUKIN;INTERFERON GAMMA.1B;2000000 UI;INYECTABLE SUBCUTANEO;1 FRASCO AMPOLLA por 2000000 UI / 0.5 ML;TRATAMIENTO PARA LA REDUCCION DE LA FRECUENCIA DE INFECCIONES SEVERAS EN PACIENTES CON ENFERMEDAD GRANULOMATOSA CRONICA Y CON OSTEOPETROSIS MALIGNA SEVERA.;VER PROSPECTO EN VNM ANMAT
DROMEX BIOTECH SA;54552;AZOMICINA;TOBRAMICINA;0.3 g / 100 ML;SOLUCI‡N OFTALMICA ESTERIL;1 FRASCO por 10 ML;ANTIMICROBIANO;VER PROSPECTO EN VNM ANMAT
IVAX ARGENTINA SOCIEDAD ANONIMA;46288;DEXALERGIN CORT;FLUTICASONA PROPIONATO;0,05 G;SPRAY INTRANASAL;ENVASE POR 120 DOSIS;ANTIINFLAMATORIO NO ESTEROIDEO;VER PROSPECTO EN VNM ANMAT
LABORATORIO AUSTRAL S.A.;52875;ELEVOPRAMˇ;ESCITALOPRAM (como OXALATO);20 MG;COMPRIMIDOS RECUBIERTOS;30 UNIDADES;ANTIDEPRESIVO;VER PROSPECTO EN VNM ANMAT
LABORATORIOS BAGO S.A.;36917;DIOXAFLEX;DICLOFENAC SODICO (como DICLOFENAC EPOLAMINA);140 MG;PARCHE TRANSDERMAL;2 UNIDADES;ANALGESICO ANTIINFLAMATORIO;VER PROSPECTO EN VNM ANMAT
ASPEN ARGENTINA S.A.;39417;EMLA;LIDOCAINA + PRILOCAINA;2.5 % + 2.5 %;CREMA;1 TUBO por 30 G;ANESTESICO LOCAL;VER PROSPECTO EN VNM ANMAT
GALDERMA ARGENTINA SA;41453;LOCERYL;CLORHIDRATO DE AMOROLFINA;0,05%;LACA;1 FRASCO por 5 ML;LACA PARA U•AS DE USO T‡PICO CON EFECTO ANTIFÈNGICO;VER PROSPECTO EN VNM ANMAT
LABORATORIO ELEA PHOENIX SA;59465;ELEFIX;ERIBULINA MESILATO;0.5 MG / ML;SOLUCION INYECTABLE;1 FRASCO AMPOLLA por 2 ML;AGENTE ANTINEOPLASICO;VER PROSPECTO EN VNM ANMAT
BAYER SOCIEDAD ANONIMA;59235;KOVALTRY;FACTOR VIII RECOMBINANTE (OCTOCOG ALFA);500 UI;POLVO LIOFILIZADO PARA SOLUCION PARA INYECCION;1 FRASCO AMPOLLA por 500 UI + 1 JERINGA PRECARGADA CON DILUYENTE por 2.5ML;FACTOR ANTIHEMOFILICO RECOMBINANTE;VER PROSPECTO EN VNM ANMAT
BAYER SOCIEDAD ANONIMA;59235;KOVALTRY;FACTOR VIII RECOMBINANTE (OCTOCOG ALFA);1000 UI;POLVO LIOFILIZADO PARA SOLUCION PARA INYECCION;1 FRASCO AMPOLLA por 1000 UI + 1 JERINGA PRECARGADA CON DILUYENTE por 2.5ML;FACTOR ANTIHEMOFILICO RECOMBINANTE;VER PROSPECTO EN VNM ANMAT
DR. LAZAR Y CIA S.A.Q. e I.;55573;SIMULTAN A 160/5;AMLODIPINA BESILATO +ˇVALSARTAN;5 MG + 160 MG;COMPRIMIDOS;30 UNIDADES;ANTIHIPERTENSIVO;VER PROSPECTO EN VNM ANMAT
DR. LAZAR Y CIA S.A.Q. e I.;55573;SIMULTAN A 160/10;AMLODIPINA BESILATO +ˇVALSARTAN;10 MG + 160 MG;COMPRIMIDOS;30 UNIDADES;ANTIHIPERTENSIVO;VER PROSPECTO EN VNM ANMAT
DR. LAZAR Y CIA S.A.Q. e I.;50404;SIMULTAN D 160;VALSARTAN-HIDROCLOROTIAZIDA;160 MG - 12.5 MG;COMPRIMIDOS RECUBIERTOS;30 UNIDADES;ANTIHIPERTENSIVO;VER PROSPECTO EN VNM ANMAT
DR. LAZAR Y CIA S.A.Q. e I.;50404;SIMULTAN D 160;VALSARTAN-HIDROCLOROTIAZIDA;160 MG - 25 MG;COMPRIMIDOS RECUBIERTOS;30 UNIDADES;ANTIHIPERTENSIVO;VER PROSPECTO EN VNM ANMAT
DR. LAZAR Y CIA S.A.Q. e I.;56855;SIMULTAN TRIPLE;VALSARTAN-AMLODIPINA (COMO BESILATO)-HIDROCLOROTIAZIDA;160 MG - 5 MG - 12,5 MG;COMPRIMIDOS RECUBIERTOS;30 UNIDADES;ANTIHIPERTENSIVO;VER PROSPECTO EN VNM ANMAT
DR. LAZAR Y CIA S.A.Q. e I.;56855;SIMULTAN TRIPLE;VALSARTAN - AMLODIPINA (COMO BESILATO) HIDROCLOROTIAZIDA;160 MG - 10 MG - 12,5 MG;COMPRIMIDOS RECUBIERTOS;30 UNIDADES;ANTIHIPERTENSIVO;VER PROSPECTO EN VNM ANMAT
DR. LAZAR Y CIA S.A.Q. e I.;56855;SIMULTAN TRIPLE;VALSARTAN - AMLODIPINA (COMO BESILATO) HIDROCLOROTIAZIDA;320 MG - 10 MG - 25 MG;COMPRIMIDOS RECUBIERTOS;30 UNIDADES;ANTIHIPERTENSIVO;VER PROSPECTO EN VNM ANMAT
LABORATORIO ELEA PHOENIX SA;59457;REGITRAT;BOSUTINIB;100 MG;COMPRIMIDO RECUBIERTO;28 UNIDADES;AGENTE ANTINEOPLASICO;VER PROSPECTO EN VNM ANMAT
ABBVIE SA;49719;ZEMPLAR;PARICALCITOL;5 mcg / ML;SOLUCION INYECABLE INTRAVENOSA;5 FRASCO AMPOLLA por 1 ML;INDICADO PARA LA PREVENCI‡N Y EL TRATAMIENTO DEL HIPERPARATIROIDISMO SECUNDARIO ASOCIADO CON INSUFICIENCIA RENAL CR‡NICA (ENFERMEDAD RENAL CR‡NICA);VER PROSPECTO EN VNM ANMAT
TUTEUR S A C I F I A;59341;NORMOSANG;HEMINA HUMANA;25 MG/ML;SOLUCI‡N CONCENTRADA PARA INFUSI‡N;4 AMPOLLA por 10 ML;INDICADO EN EL TRATAMIENTO DE LOS ATAQUES AGUDOS DE PORFIRIA HEPµTICA (PORFIRIA AGUDA INTERMITENTE, PORFIRIA VARIEGATA, COPROPORFIRIA HEREDITARIA).;VER PROSPECTO EN VNM ANMAT
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
